step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.99516541520102,0,0.0,0.9873751446008123,0,0.0,1.0,0,0.0,0.9751475451367813,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.417135614169485,0,0.0,1.0,0,0.0,0.9531727337991325,0,0.0,0.9206789921968994,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.322723820355794,0,0.0,0.9096331496022279,0,0.0,0.9453323160698917,0,0.0,0.6543526847974641,0,0.0,1.0,0,0.0
20.0,1,4.0,0.5,11.84136936218781,0,0.0,0.9595010662085428,0,0.0,0.9934522647650265,1,4.0,0.48788545384183246,0,0.0,0.8952408503823123,1,4.0
25.0,1,9.0,0.9,12.150288980985042,0,0.0,0.933497347473934,0,0.0,0.9484178101625653,1,9.0,0.47368442569756714,0,0.0,0.8561276836219855,1,9.0
30.0,1,14.0,1.2727272727272727,9.20967645700916,0,0.0,0.7044745389842694,0,0.0,0.7196958690819959,1,14.0,0.34311382046158906,0,0.0,0.8692857445775329,1,14.0
35.0,3,27.0,2.25,8.638936697601936,1,4.0,0.4743129799142414,0,0.0,0.7573265820515115,2,23.0,0.4649956310755067,0,0.0,1.0,3,27.0
40.0,3,42.0,2.8,8.990301741168162,1,9.0,0.32226521078357123,0,0.0,0.9725377114461585,2,33.0,0.26050034545015305,0,1.0,0.9022238415990733,3,43.0
45.0,4,61.0,3.8125,9.425289989432047,2,18.0,0.29959529517669165,0,0.0,0.9640422654671366,2,43.0,0.0,0,1.0,0.891434119417449,4,62.0
50.0,4,81.0,5.785714285714286,8.488760680068609,2,28.0,0.10647048880635118,0,0.0,0.931611640405166,2,53.0,0.0,0,0.0,0.8736842615888752,4,81.0
55.0,5,104.0,7.428571428571429,8.511149641150366,3,41.0,0.0004651849055633212,0,0.0,1.0,2,63.0,0.3207471702626793,0,0.0,0.9551556447138753,5,104.0
60.0,5,129.0,8.0625,8.45297860758231,3,56.0,0.38652635678082486,0,0.0,0.9435359858405052,2,73.0,0.39311098278241996,0,0.0,0.9059654716765831,5,129.0
65.0,6,157.0,10.466666666666667,7.595598486335902,3,71.0,0.389428429656685,0,0.0,0.9956984131975635,3,86.0,0.36592793916692645,0,0.0,0.8292551848811823,6,157.0
70.0,7,189.0,13.5,5.647581946143914,3,86.0,0.36869744593554055,0,0.0,1.0,4,103.0,0.0998340622683585,0,0.0,0.9166067348365995,7,189.0
75.0,8,226.0,15.066666666666666,5.552937226617198,3,101.0,0.35250652221445666,0,0.0,1.0,5,125.0,0.2684741009023918,0,0.0,0.9301947388778624,8,226.0
80.0,8,266.0,17.733333333333334,5.030741386365535,3,116.0,0.19715902138310132,0,0.0,1.0,5,150.0,0.36756623181894427,0,0.0,1.0,8,266.0
