Krok,CzasOczekiwania(s),ZatrzymanePojazdy,SredniaPredkosc(m/s)
0,0.0,0,11.2
1,0.0,0,8.57
2,0.0,0,9.64
3,0.0,0,10.38
4,0.0,0,11.86
5,0.0,0,10.51
6,0.0,0,10.03
7,0.0,0,10.0
8,0.0,0,10.37
9,0.0,0,10.83
10,1.0,1,11.11
11,2.0,1,11.48
12,3.0,2,10.3
13,4.0,1,10.37
14,5.0,1,10.72
15,6.0,1,10.42
16,0.0,0,11.02
17,0.0,0,10.79
18,0.0,0,11.61
19,0.0,0,12.2
20,0.0,0,11.24
21,0.0,0,11.64
22,0.0,0,12.17
23,0.0,0,11.45
24,0.0,0,11.04
25,0.0,0,10.29
26,1.0,1,9.95
27,3.0,2,9.84
28,5.0,2,9.35
29,7.0,2,9.48
30,11.0,4,9.31
31,17.0,6,8.7
32,10.0,4,8.66
33,4.0,1,8.99
34,5.0,1,9.55
35,0.0,0,9.55
36,1.0,1,9.78
37,2.0,1,10.35
38,3.0,1,10.53
39,4.0,1,10.53
40,7.0,3,10.17
41,4.0,2,9.96
42,5.0,3,9.45
43,9.0,4,9.4
44,13.0,4,9.38
45,11.0,3,9.09
46,15.0,4,8.97
47,21.0,6,7.99
48,27.0,6,7.71
49,19.0,6,7.54
50,16.0,5,7.5
51,15.0,5,7.79
52,18.0,4,7.83
53,9.0,3,7.96
54,10.0,4,8.17
55,15.0,5,8.23
56,21.0,6,8.04
57,30.0,9,8.09
58,39.0,9,7.72
59,38.0,7,7.26
60,47.0,9,6.77
61,42.0,7,6.56
62,43.0,8,6.51
63,45.0,8,6.59
64,50.0,7,6.78
65,59.0,9,7.09
66,70.0,11,7.44
67,81.0,11,7.63
68,93.0,12,7.67
69,106.0,13,7.4
70,120.0,14,7.75
71,112.0,14,7.9
72,107.0,13,7.88
73,104.0,13,8.03
74,118.0,14,8.15
75,132.0,14,8.25
76,146.0,14,8.08
77,160.0,14,7.83
78,174.0,14,7.7
79,158.0,14,7.32
80,155.0,14,6.76
81,141.0,12,6.67
82,131.0,11,6.7
83,135.0,13,7.05
84,144.0,13,7.4
85,154.0,12,7.84
86,167.0,13,7.92
87,181.0,14,8.09
88,195.0,14,8.41
89,209.0,14,8.61
90,161.0,12,8.74
91,120.0,10,8.82
92,81.0,8,8.79
93,60.0,7,8.78
94,57.0,8,8.64
95,65.0,8,8.55
96,59.0,8,8.64
97,54.0,9,8.91
98,58.0,9,9.14
99,64.0,8,9.18
100,54.0,8,9.08
101,47.0,8,9.25
102,39.0,7,9.09
103,37.0,7,9.1
104,39.0,6,8.94
105,47.0,8,8.85
106,57.0,10,8.43
107,68.0,11,8.25
108,80.0,12,8.02
109,92.0,16,7.84
110,91.0,14,7.51
111,77.0,13,7.21
112,71.0,11,6.95
113,73.0,12,7.06
114,72.0,12,7.18
115,80.0,14,7.09
116,91.0,14,7.11
117,105.0,14,7.11
118,121.0,16,7.14
119,139.0,18,7.23
120,157.0,18,7.31
121,178.0,21,7.26
122,199.0,21,7.32
123,222.0,23,7.14
124,247.0,25,6.99
125,274.0,27,6.87
126,294.0,27,6.64
127,296.0,27,6.44
128,297.0,25,6.63
129,311.0,24,6.72
130,315.0,21,6.83
131,339.0,24,7.02
132,363.0,24,6.76
133,334.0,22,6.58
134,312.0,21,6.23
135,251.0,20,6.02
136,198.0,20,5.93
137,135.0,20,5.81
138,87.0,16,6.07
139,69.0,16,6.29
140,67.0,14,6.51
141,68.0,14,6.97
142,71.0,14,7.12
143,78.0,15,7.32
144,84.0,14,7.55
145,89.0,13,7.73
146,95.0,13,7.75
147,107.0,13,7.48
148,110.0,11,7.19
149,114.0,10,6.87
150,129.0,15,6.86
151,146.0,17,6.78
152,164.0,18,6.93
153,184.0,21,6.89
154,206.0,22,7.11
155,229.0,23,7.11
156,255.0,26,7.28
157,284.0,29,7.12
158,314.0,30,6.94
159,345.0,31,6.92
160,376.0,31,6.62
161,408.0,32,6.35
162,442.0,34,6.04
163,441.0,32,5.85
164,422.0,33,6.15
165,409.0,32,6.1
166,409.0,31,6.07
167,409.0,29,6.03
168,409.0,28,6.07
169,417.0,28,6.11
170,444.0,29,5.98
171,458.0,29,5.82
172,474.0,30,5.74
173,495.0,30,5.69
174,518.0,31,5.79
175,549.0,31,5.9
176,581.0,32,6.01
177,614.0,33,6.05
178,648.0,34,6.09
179,684.0,36,6.2
180,632.0,36,6.28
181,592.0,35,6.44
182,567.0,34,6.44
183,541.0,32,6.47
184,531.0,33,6.54
185,522.0,31,6.57
186,514.0,31,6.61
187,469.0,29,6.58
188,438.0,26,6.64
189,419.0,26,6.75
190,414.0,25,6.93
191,393.0,26,6.89
192,358.0,24,6.89
193,332.0,26,6.75
194,314.0,26,6.53
195,307.0,27,6.45
196,303.0,28,6.32
197,308.0,30,6.22
198,321.0,32,6.07
199,347.0,32,5.96
200,381.0,34,5.84
201,412.0,37,5.65
202,451.0,39,5.57
203,492.0,41,5.42
204,536.0,44,5.44
205,581.0,45,5.39
206,565.0,44,5.41
207,488.0,42,5.53
208,436.0,40,5.67
209,436.0,40,5.66
210,461.0,40,5.87
211,491.0,40,5.92
212,524.0,43,5.94
213,562.0,42,6.06
214,605.0,43,6.06
215,649.0,44,6.07
216,667.0,45,5.91
217,686.0,45,5.75
218,704.0,44,5.6
219,724.0,45,5.48
220,746.0,47,5.29
221,769.0,47,5.24
222,793.0,48,5.13
223,817.0,47,5.04
224,865.0,48,4.8
225,812.0,48,4.74
226,795.0,47,4.63
227,784.0,48,4.77
228,766.0,46,4.68
229,732.0,45,4.69
230,698.0,42,4.55
231,661.0,40,4.55
232,655.0,40,4.2
233,622.0,39,4.35
234,591.0,36,4.34
235,569.0,35,4.43
236,555.0,35,4.62
237,565.0,35,4.79
238,600.0,35,5.07
239,610.0,35,5.07
240,625.0,35,4.91
241,611.0,35,4.82
242,599.0,35,4.67
243,592.0,36,4.68
244,587.0,36,4.87
245,598.0,36,4.94
246,610.0,36,5.06
247,648.0,38,5.26
248,666.0,38,5.32
249,706.0,40,5.42
250,748.0,42,5.57
251,791.0,43,5.58
252,835.0,44,5.53
253,880.0,45,5.49
254,927.0,47,5.39
255,975.0,48,5.29
256,1024.0,49,5.23
257,1074.0,50,5.13
258,1087.0,50,4.97
259,1121.0,50,5.05
260,1131.0,48,5.09
261,1148.0,46,5.14
262,1171.0,46,5.37
263,1207.0,45,5.42
264,1248.0,47,5.52
265,1291.0,46,5.43
266,1339.0,48,5.44
267,1388.0,49,5.35
268,1439.0,51,5.17
269,1491.0,52,5.03
270,1450.0,50,4.97
271,1411.0,48,4.66
272,1402.0,48,4.61
273,1402.0,47,4.49
274,1405.0,50,4.5
275,1412.0,53,4.56
276,1425.0,54,4.61
