step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.434095843230526,0,0.0,0.9611583992701634,0,0.0,0.958503655168689,0,0.0,1.0,0,0.0,1.0,0,0.0,0.960750776197127,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9582886407090723,0,0.0,0.9585989397844099,0,0.0,0.9645482302503532,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9609715858028736,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.534925857535157,0,0.0,0.9599183726475381,0,0.0,0.9577283266138574,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9604201206167202,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.958832811819859,0,0.0,0.9577968041000531,0,0.0,0.9350510839239843,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.928892061757153,0,0.0,1.0,0,0.0
15.0,1,2.0,0.05,11.076610811615547,0,0.0,0.7466944434793636,0,0.0,0.9361416015209304,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6031603130698929,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.942637374884547,0,0.0,0.960019300796719,1,2.0,0.6074521498097984,0,0.0,0.9443650735524262,0,0.0,0.9447732765346016,0,0.0,0.942775871008997,0,0.0,0.9508154853146595,0,0.0,0.6357005450300487,1,2.0
20.0,6,23.0,0.4107142857142857,10.803358070793633,3,10.0,0.6467582842808174,0,0.0,0.9414157162862169,0,0.0,1.0,0,0.0,1.0,0,0.0,0.762069863739832,0,1.0,0.41019479055375785,0,0.0,1.0,0,0.0,1.0,0,0.0,0.932860181214179,0,0.0,0.9237605868664245,3,13.0,0.5760774238528698,0,0.0,0.9379717026744396,0,0.0,0.9138082515800261,0,0.0,0.9566983092075875,0,0.0,0.9672706975281876,0,0.0,0.9333158849434533,6,24.0
25.0,8,60.0,0.8333333333333334,10.720126050292016,4,28.0,0.5605109446399953,0,0.0,0.9578971815478194,0,0.0,1.0,0,0.0,0.9513374235945928,0,0.0,0.95631666281243,0,1.0,0.9251940098696576,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9429406461911347,0,0.0,0.9712033095289747,4,32.0,0.5360109496803459,0,0.0,0.9468716581706363,0,0.0,0.8698677771927139,0,0.0,0.928898929795893,0,0.0,0.9160606583049226,0,0.0,0.6538848956888628,8,61.0
30.0,15,121.0,1.5125,9.22884649862978,6,55.0,0.4448728566365326,0,0.0,0.9456955199621646,0,0.0,0.9143080526974257,0,0.0,0.9552280541683263,0,0.0,0.640822568815633,0,1.0,0.9054437067048464,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9010896638285713,0,0.0,0.9273916589732671,6,59.0,0.4884546639952865,0,0.0,0.9438764691780153,0,0.0,0.9482239953290394,0,0.0,0.963446487633813,1,2.0,0.6509815215594005,2,5.0,0.32222233310458,15,122.0
35.0,29,243.0,2.53125,7.781503160216853,8,92.0,0.3626258152706779,0,0.0,0.9597711949945584,0,0.0,0.9364584681873898,0,0.0,0.9266007386154465,2,7.0,0.5184951722773264,1,3.0,0.1021664216162939,0,0.0,1.0,0,0.0,1.0,2,5.0,0.5495844183812204,0,0.0,0.9567145233362871,8,96.0,0.3928428548175431,0,0.0,0.902202746168574,0,0.0,0.9134864747157156,0,0.0,0.9543479209842118,4,17.0,0.5774436755986874,4,24.0,0.4724744819416303,29,244.0
40.0,32,288.0,2.5714285714285716,7.6476077350287,10,137.0,0.43658422383858525,0,0.0,0.9534030095626842,0,0.0,0.9123485677690251,0,0.0,0.9424477758278519,4,25.0,0.4742037397746082,5,21.0,0.15911385676783896,0,0.0,0.9253020525000657,0,0.0,0.9271192318283527,0,2.0,0.6310376573393456,0,0.0,0.9591089768758091,4,85.0,0.372961030622322,0,0.0,0.95565720093238,0,4.0,0.560421437769165,0,0.0,0.947564328464483,5,39.0,0.4951223070442419,4,44.0,0.47080588586421435,32,357.0
45.0,36,431.0,3.591666666666667,7.806646083027842,12,190.0,0.30324076543136264,0,0.0,0.9796237207078484,0,0.0,0.9645731547943572,0,0.0,0.9474680439164946,6,53.0,0.43625336933290637,5,46.0,0.3591135135643985,0,0.0,0.9096687670005693,0,0.0,0.9401207282318721,0,0.0,0.8709437908190968,0,0.0,0.9244671714233572,2,33.0,0.43970150066060004,0,4.0,0.8203906814069576,0,4.0,0.8373914859340928,0,0.0,0.9396637872415842,7,72.0,0.22869853894849965,4,64.0,0.4442976234890412,36,466.0
50.0,45,621.0,4.5661764705882355,7.5026821140931235,14,254.0,0.2913660534432746,1,1.0,0.5647298669607445,0,0.0,0.9489143265738691,0,0.0,0.96000740149241,9,91.0,0.3928574265821597,5,71.0,0.3530314294594219,0,0.0,0.9159820366372933,0,0.0,0.9330963196203151,0,0.0,0.9345703611249241,0,0.0,0.9498281484071515,3,37.0,0.4360731057457712,0,4.0,0.906811963004896,0,4.0,0.8236727841323547,0,0.0,0.9317661159650892,9,118.0,0.21327990666828806,4,84.0,0.5181370204096104,45,664.0
55.0,54,871.0,5.768211920529802,7.198837308681152,15,328.0,0.27224967667421235,0,0.0,0.7305725777878752,0,0.0,0.9442723415353935,0,0.0,0.9662132308414817,9,136.0,0.2746183807208163,5,96.0,0.40171103198621333,0,0.0,0.9637175675970864,0,0.0,0.9624218919734124,0,0.0,0.9402833373130736,0,0.0,0.9716220959562019,8,65.0,0.43595083127297907,2,11.0,0.20255887608715775,0,0.0,0.8582302615817188,0,0.0,0.9655569305389617,11,170.0,0.3586413124765442,4,104.0,0.46856154882431394,54,910.0
60.0,63,1028.0,6.589743589743589,6.7033988658777135,17,410.0,0.19563697122804702,0,0.0,0.8556669170533686,0,0.0,0.860189591572435,0,0.0,0.9381325363703129,12,191.0,0.14731480640556244,5,121.0,0.4133039144044738,0,0.0,0.9249667035990542,0,0.0,0.9694937462446359,1,1.0,0.6061229984988574,0,0.0,0.9272510802797084,11,116.0,0.32382572074501864,6,33.0,0.4048747969036663,0,0.0,0.8295178826371356,0,0.0,0.9599166690299525,7,162.0,0.44461424149561396,4,128.0,0.4024164532427118,63,1162.0
65.0,63,1260.0,7.455621301775148,6.757416185381178,19,502.0,0.18045184525127905,0,0.0,0.9311326951994711,0,0.0,0.8406767546040881,0,0.0,0.9679744257101366,13,255.0,0.14120193700074912,5,146.0,0.40018875944658183,0,0.0,0.9669817694737852,0,0.0,0.9706267632196376,2,9.0,0.611484982347066,0,0.0,0.9711571162939571,12,174.0,0.2782495479905199,6,63.0,0.4935315642481496,0,0.0,1.0,0,0.0,0.9001522722654931,2,65.0,0.40043273844723504,4,148.0,0.49247248868662014,63,1362.0
70.0,66,1564.0,8.836158192090396,6.621730074295366,21,601.0,0.20379725627446943,0,0.0,0.974684919261648,0,0.0,0.8278580436994749,0,0.0,0.9292965172897545,15,331.0,0.15805506513278944,5,171.0,0.3348387198413221,0,0.0,0.9328844837803345,0,0.0,0.9489878781556519,0,1.0,0.6423417765104172,0,0.0,0.9559988606433887,14,242.0,0.30277706668792187,6,89.0,0.39760570555231795,0,2.0,0.3943909444294263,0,0.0,0.9119031237331322,1,54.0,0.4765354732920286,4,168.0,0.6498270942898984,66,1659.0
75.0,80,1933.0,10.798882681564246,6.179397065528743,23,711.0,0.16758578855409198,0,0.0,0.969006261553818,0,0.0,0.6877905925425267,0,0.0,0.8918863797822286,17,414.0,0.2656007316163661,5,196.0,0.24223723878778966,0,0.0,0.901501086901621,0,0.0,0.9724221359712838,0,0.0,0.8915881055926184,0,0.0,0.9378161400271398,16,319.0,0.26180726647827773,6,119.0,0.3180996153851569,0,4.0,0.9238606881085304,0,0.0,0.9432033134834477,7,68.0,0.40702653686923124,6,190.0,0.4057334927475265,80,2021.0
80.0,96,2377.0,12.44502617801047,6.0179802562611515,25,829.0,0.17159036697798716,0,0.0,0.9621819085906558,1,2.0,0.0006046541805696316,0,0.0,0.933995515649493,19,505.0,0.3490772420049517,5,221.0,0.2736666561530092,0,0.0,0.8795314382997524,0,0.0,0.9597941103894532,0,0.0,0.9445670626648933,0,0.0,0.9365959991971279,18,407.0,0.2368950174789331,6,149.0,0.31960282010860586,0,4.0,0.8746695646338285,0,0.0,0.9489887024503192,11,116.0,0.33011942896513863,11,234.0,0.32407811710203843,96,2467.0
