step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.112016824082435,0,0.0,0.9447995311095305,0,0.0,0.9389841752934094,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9402272082139507,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9395320120305437,0,0.0,0.9353595921771831,0,0.0,0.9426193272315448,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9380536696009593,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.485071831353746,0,0.0,0.9757972008818934,0,0.0,0.976382700093966,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9751270710708808,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9766978516703604,0,0.0,0.974519059034672,0,0.0,0.9004675759206933,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9734945296597869,0,0.0,1.0,0,0.0
15.0,4,7.0,0.175,11.03611355342297,2,3.0,0.7019734853141097,0,0.0,0.9684955936513854,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6647230207256254,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9493887712847202,0,0.0,0.9694917865136558,1,2.0,0.6948795431842645,0,0.0,0.9708471790800969,0,0.0,0.992382082719484,0,0.0,0.9899882947577336,0,0.0,0.6789712329602768,0,0.0,1.0,4,7.0
20.0,9,42.0,0.75,10.125859519905195,3,14.0,0.6326799333487829,0,0.0,0.9677910783417092,0,0.0,1.0,0,0.0,1.0,2,10.0,0.5292557712378183,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9406926276053356,0,0.0,0.950654728867788,2,11.0,0.6348575550903148,0,0.0,0.9898974987396953,0,0.0,0.9560046880657208,0,0.0,0.9711692035480821,2,7.0,0.434669086316215,0,0.0,1.0,9,42.0
25.0,17,105.0,1.4583333333333333,9.51132702493067,4,30.0,0.5738140708682217,0,0.0,0.9541966074278614,0,0.0,0.971791337336595,0,0.0,0.9154139240507647,4,24.0,0.39474224359111904,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.958248201128843,0,0.0,0.9604334815686677,4,27.0,0.5732194036000171,0,0.0,0.9704542047591446,0,0.0,0.9505280137248265,0,0.0,0.9325916521651357,5,24.0,0.3588697130198612,0,0.0,0.9921271071616725,17,105.0
30.0,24,212.0,2.65,8.570089370375253,6,55.0,0.4403609402912112,0,0.0,0.9347312836454912,0,0.0,0.9402793728560508,0,0.0,0.9633380508878745,6,51.0,0.2854449601678668,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9395087267843224,0,0.0,0.9247475276638082,6,54.0,0.4350061332444086,0,0.0,0.9414085483172867,0,0.0,0.9561579898269024,0,0.0,0.9212998078353808,6,52.0,0.4114177173050767,0,0.0,0.9758252457663862,24,212.0
35.0,32,351.0,3.65625,8.282793375751465,8,90.0,0.45495680989480936,0,0.0,0.9117404919691137,0,0.0,0.9683688867947677,0,0.0,0.9685354584729096,8,86.0,0.23947870609229024,0,0.0,0.9669529566102832,0,0.0,0.971791337336595,0,0.0,0.9690699791434967,0,0.0,0.9606836209366666,0,0.0,0.9477759826823603,8,87.0,0.3774498296289223,0,0.0,0.9305589507209605,0,0.0,0.9255221021645532,0,0.0,0.9314005996853987,8,88.0,0.44051837981815073,0,0.0,0.9770754137078022,32,351.0
40.0,40,532.0,4.75,8.018030091723904,10,134.0,0.38127110724265184,0,0.0,0.9584836278446748,0,0.0,0.9503090098949876,0,0.0,0.9921665416340764,10,132.0,0.33822872097810275,0,0.0,0.9936212187929856,0,0.0,0.9315162783414946,0,0.0,0.9704344404936539,0,0.0,0.9672564333113871,0,0.0,0.9590130827003982,10,132.0,0.35419592472478945,0,0.0,0.9542363024109857,0,0.0,0.9006009940281995,0,0.0,0.7467571481222999,10,134.0,0.35202097110029806,0,0.0,0.9438300327861825,40,532.0
45.0,48,756.0,6.3,7.24526319584471,12,190.0,0.27378589662972597,0,0.0,0.9545595110220194,0,0.0,0.9509304521225702,0,0.0,1.0,11,186.0,0.32947545299775965,0,0.0,0.9833393187051961,0,0.0,0.9730027484477616,0,0.0,0.9850944877272617,0,0.0,0.9682095059298097,0,0.0,0.9529686148086389,11,185.0,0.31284975740563314,0,0.0,0.9154436633330503,0,0.0,0.8510760432651544,2,7.0,0.4813297885904418,12,188.0,0.28725941705869773,0,0.0,0.9378237966929728,48,756.0
50.0,54,1007.0,7.45925925925926,7.064615392620027,14,254.0,0.26182396635379973,0,0.0,0.9212698169050086,0,0.0,0.842321364123653,0,2.0,0.48341032448205495,13,250.0,0.2940137318415869,0,0.0,0.9638147570886956,0,0.0,0.965963702590716,0,0.0,0.9512810073523876,0,0.0,0.9556344030119889,0,0.0,0.9654878420567166,13,250.0,0.2447892585829666,0,0.0,0.9563223172144083,0,0.0,0.9829345119352161,0,3.0,0.5240465891568761,14,253.0,0.25446469668714433,0,0.0,0.940374141279121,54,1012.0
55.0,63,1303.0,8.74496644295302,7.232169448470312,16,328.0,0.2926144530049241,0,0.0,0.9719169335062888,0,0.0,0.9135732455863952,0,4.0,0.8582121497933793,16,324.0,0.2559158083622853,0,0.0,0.9402807621722109,0,0.0,0.9432173030614448,0,0.0,0.9352254711998036,0,0.0,0.9737654335136045,0,0.0,0.9680823788171429,16,325.0,0.25768672824398486,0,0.0,0.9369456899520135,0,0.0,0.9727716403535839,0,0.0,0.8688808093275364,15,326.0,0.2503498444203671,0,0.0,0.5935975802978569,63,1307.0
60.0,71,1637.0,10.561290322580644,6.615785978225543,17,410.0,0.2033264415624871,0,0.0,0.9620229601325141,0,0.0,0.942501651356182,0,4.0,0.8644144938513075,17,406.0,0.2147841803434794,0,0.0,0.968003107027035,0,0.0,0.8364408349564045,0,0.0,1.0,0,0.0,0.9755514889251111,0,0.0,0.9576847904854922,17,406.0,0.2269989878577814,0,0.0,0.9500361948348977,0,0.0,0.9268285997920181,0,0.0,0.9490088723832167,17,408.0,0.1556340680459482,3,7.0,0.31605231459573285,71,1641.0
