step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.870646179789789,0,0.0,0.9393499578225941,0,0.0,0.9281456484955559,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9378838528698166,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943723650251673,0,0.0,0.9405747040268356,0,0.0,0.9388403667613747,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9350387304471519,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.268348940721022,0,0.0,0.9726460676277484,0,0.0,0.9725174599982991,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9610587237582002,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9736539627342011,0,0.0,0.9712997367950276,0,0.0,0.9730191175353334,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9690564147609001,0,0.0,1.0,0,0.0
15.0,2,4.0,0.1,11.820740542211492,0,0.0,0.8053447455888797,0,0.0,0.936719131309445,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6889521314266751,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.96860255745807,0,0.0,0.9688572067146506,0,0.0,0.9806770360911994,0,0.0,0.9598106872191776,0,0.0,0.933011968564111,0,0.0,0.9664797383591694,1,2.0,0.6936003083352402,0,0.0,1.0,2,4.0
20.0,8,33.0,0.5892857142857143,10.955560636279303,3,10.0,0.6820142591399052,0,0.0,0.9561168992797762,0,0.0,1.0,0,0.0,1.0,3,12.0,0.5309333153317969,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9334508891166349,0,0.0,0.96508439901689,0,0.0,0.9530867449053269,0,0.0,0.9124622461663708,0,0.0,0.9563633552103435,0,0.0,0.9505805324331766,2,11.0,0.5819544146010733,0,0.0,1.0,8,33.0
25.0,13,87.0,1.2083333333333333,9.797059935537707,4,28.0,0.566373945341285,0,0.0,0.9579509690942941,0,0.0,0.9668761704801254,0,0.0,0.9664797383591694,5,31.0,0.4122427309529712,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8305497401051575,0,0.0,0.9611511425723824,0,0.0,0.7998952121309418,0,0.0,0.8167876091821737,0,0.0,0.9546809885080156,0,0.0,0.9596567339213141,4,28.0,0.5144462424920551,0,0.0,1.0,13,87.0
30.0,23,181.0,2.2625,7.976281156081285,6,55.0,0.4418194466066818,0,0.0,0.9686118903214863,0,0.0,0.9758980000299751,0,0.0,0.8498715963668677,6,58.0,0.2515434779929345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.5556256846378325,0,0.0,0.9420430253091198,2,4.0,0.6653372581295574,2,6.0,0.5070617757718203,0,0.0,0.9272525722058954,0,0.0,0.9805162986859586,6,55.0,0.36681741744016777,0,0.0,0.9773430802944273,23,181.0
35.0,34,322.0,3.3541666666666665,7.700283404723358,9,93.0,0.418868403910275,0,0.0,0.9461252093585326,0,0.0,0.9668902807671326,0,0.0,0.9299040058468616,8,94.0,0.3538517368547983,0,0.0,1.0,0,0.0,0.9390365824148647,0,0.0,0.6323366090922687,0,1.0,0.6374347569546901,0,0.0,0.9515606225858422,4,19.0,0.5849263801394232,4,24.0,0.4806529841574345,0,2.0,0.3813416357797299,0,0.0,0.9490289706085364,9,92.0,0.2854777748924063,0,0.0,0.9684476771874285,34,325.0
40.0,34,458.0,4.089285714285714,8.149748989311023,10,140.0,0.3793251250859177,0,0.0,0.9803395572410569,0,0.0,0.951026455849369,0,0.0,0.9478367602646274,9,138.0,0.28688768447977847,0,0.0,1.0,0,0.0,0.972065367228046,0,0.0,0.9840161862061698,0,0.0,0.9308932082322541,0,0.0,0.9709488378785764,5,42.0,0.5474404843925507,0,14.0,0.672915938152668,0,6.0,0.8096401564634982,0,0.0,0.9274622335627042,10,138.0,0.3553098911227724,0,0.0,0.966380901425145,34,478.0
45.0,45,661.0,5.508333333333334,7.526535815201453,12,196.0,0.3089946530068477,0,0.0,0.9545114567119996,0,0.0,1.0,0,0.0,0.9647941300237992,12,194.0,0.12600436848247287,0,0.0,0.9734980400001273,0,0.0,0.9424657702909244,0,0.0,0.7093380933225619,0,0.0,0.9272468875219709,0,0.0,0.937695784424088,8,76.0,0.38591781968807304,1,2.0,0.6271500550136013,0,8.0,0.9215910820668878,0,0.0,0.9524131498579664,12,193.0,0.3215163901914903,0,0.0,0.8383063027340645,45,669.0
50.0,51,895.0,6.580882352941177,7.3429742071458115,13,260.0,0.3050114241629148,0,0.0,0.9624760751167623,0,0.0,0.9384281855986247,0,0.0,0.9727744762062729,14,258.0,0.21389170788125364,0,0.0,0.9673963442514752,0,0.0,0.9538153681634729,0,0.0,0.9006538096016306,0,0.0,0.9438868221365784,0,0.0,0.9416460370678738,9,118.0,0.34383326236076345,0,1.0,0.5792327798722836,0,4.0,0.9319184054489436,0,0.0,0.9318774656609508,14,258.0,0.3376563410487513,1,5.0,0.31381364307441945,51,904.0
