step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,3.392318292194978,0,0.0,0.2569462165678386,0,0.0,1.0,0,0.0,0.22906338289976608,0,0.0
10.0,1,0.0,0.0,7.044794171058513,1,0.0,0.4820621893141225,0,0.0,1.0,0,0.0,0.5098554780371128,1,0.0
15.0,1,0.0,0.0,7.97043179464994,0,0.0,0.4141944052338676,0,0.0,0.9412656096937415,1,0.0,0.5450433995284731,1,0.0
20.0,0,0.0,0.0,11.983972395229795,0,0.0,0.9297522004513753,0,0.0,0.963744849716917,0,0.0,0.6552682184089401,0,0.0
25.0,0,0.0,0.0,10.299830193645967,0,0.0,0.654836379881979,0,0.0,0.9570726278787991,0,0.0,0.6679783724829816,0,0.0
30.0,2,0.0,0.0,9.917669135449962,1,0.0,0.6151125110759207,0,0.0,0.9072420023715623,1,0.0,0.6603433690412863,2,0.0
35.0,1,5.0,0.22727272727272727,10.34446504877944,1,5.0,0.6430993811101946,0,0.0,0.9403785566921284,0,0.0,0.7755162832692348,1,5.0
40.0,2,14.0,0.56,10.239540454117412,2,14.0,0.6165121215742349,0,0.0,0.9688055424682157,0,0.0,0.6954229349483431,2,14.0
45.0,2,1.0,0.037037037037037035,8.734848284436543,1,8.0,0.4757759416971817,0,2.0,0.8217689141027181,1,0.0,0.6233995172731294,2,10.0
50.0,5,18.0,0.6666666666666666,7.794337442718979,5,18.0,0.3317978383593053,0,2.0,0.8252163206532083,0,0.0,0.7490907393807467,5,20.0
55.0,4,7.0,0.23333333333333334,7.469444331225775,4,27.0,0.33666049888065386,0,2.0,0.8035594906987855,0,0.0,0.7310888191036837,4,29.0
60.0,3,8.0,0.25,8.24142312385951,2,14.0,0.3640800965611105,0,2.0,0.8392532265726773,1,0.0,0.6471134910215595,3,16.0
65.0,3,18.0,0.5806451612903226,9.579812745591973,3,18.0,0.4738540782875709,0,0.0,0.8596739584057277,0,0.0,0.7395586720250112,3,18.0
70.0,5,37.0,1.121212121212121,9.00465710812521,3,31.0,0.4869029638161564,0,0.0,0.9354389207898144,1,2.0,0.5411778255264648,4,33.0
75.0,10,69.0,2.15625,6.434032181545314,4,49.0,0.4749049488061387,1,1.0,0.46030803367785106,4,10.0,0.2893102492561183,9,60.0
80.0,15,135.0,4.21875,4.67609810046993,4,69.0,0.2067919532482855,5,20.0,0.37683294755726016,5,32.0,0.2277259622970461,14,121.0
85.0,10,109.0,3.1142857142857143,3.588250906301012,5,89.0,0.18303085681114267,2,28.0,0.09427911847767445,3,54.0,0.2686169748425598,10,171.0
90.0,12,137.0,3.8055555555555554,5.129964975070529,5,116.0,0.3970024823541862,0,6.0,0.4862644592577468,7,78.0,0.2931116625826188,12,200.0
95.0,13,162.0,4.378378378378378,5.2789620127890835,5,139.0,0.4147271327564714,0,0.0,0.9580949324379585,7,88.0,0.19145375642162077,12,227.0
100.0,12,191.0,4.658536585365853,4.969818705349547,5,164.0,0.31021757470254996,0,2.0,0.8475059361074251,6,111.0,0.12976279993448508,11,277.0
105.0,16,246.0,6.15,4.519187570167853,5,189.0,0.3704931341947123,1,2.0,0.5402660232522746,9,143.0,0.11916811006785383,15,334.0
110.0,21,340.0,8.5,5.224517415446658,5,214.0,0.5025502489090076,3,15.0,0.5840751166726058,12,193.0,0.14146893165432187,20,422.0
115.0,23,450.0,10.975609756097562,4.82268919902504,6,240.0,0.37334361383307263,3,30.0,0.4823516430437539,13,257.0,0.15623990464254514,22,527.0
120.0,26,570.0,12.954545454545455,4.6414018860122335,6,270.0,0.34648165452853613,5,50.0,0.46186316183209614,14,322.0,0.13223177535338304,25,642.0
125.0,21,554.0,13.19047619047619,4.651550124343491,6,300.0,0.45529204527296,6,76.0,0.244220852041824,9,353.0,0.11437026702006191,21,729.0
130.0,18,323.0,7.340909090909091,3.901737004206105,3,250.0,0.3394113227778982,6,108.0,0.06259772925761185,9,375.0,0.11708077040650233,18,733.0
135.0,13,124.0,2.7555555555555555,3.2799650339495043,4,135.0,0.23729814793294324,5,106.0,0.17814272891134472,4,349.0,0.13661259814079407,13,590.0
140.0,6,14.0,0.3111111111111111,4.601599617378691,3,141.0,0.24446674881530187,2,125.0,0.2725632763330203,1,260.0,0.2631211314143533,6,526.0
145.0,6,16.0,0.3404255319148936,6.592482822324452,5,144.0,0.3644401777808598,1,99.0,0.2791707270585359,0,145.0,0.4090172507199725,6,388.0
150.0,6,37.0,0.8222222222222222,7.150129206979377,5,159.0,0.4265203233697458,0,69.0,0.3710753349849845,1,88.0,0.5508320517232395,6,316.0
155.0,5,26.0,0.5777777777777777,7.224911688408435,4,110.0,0.33148239993603384,0,29.0,0.46659103592916296,1,10.0,0.6708469609759894,5,149.0
160.0,9,27.0,0.6,5.497801948821965,7,72.0,0.28979476908644597,0,7.0,0.49838082116978255,2,9.0,0.4042845970342565,9,88.0
165.0,14,49.0,1.065217391304348,3.537242311314758,8,94.0,0.16940271554984454,0,4.0,0.5053428796024694,6,30.0,0.18397877582588884,14,128.0
170.0,12,49.0,1.0425531914893618,4.032844081434244,6,107.0,0.2057379205159432,1,6.0,0.5980043294810469,5,43.0,0.13897160538657072,12,156.0
175.0,10,58.0,1.1372549019607843,5.398947230453015,5,114.0,0.2656165080951236,2,14.0,0.4365551245894171,3,31.0,0.19868027888126982,10,159.0
180.0,9,86.0,1.72,6.310376066549711,5,125.0,0.39313595383614186,3,20.0,0.30340691111676427,1,17.0,0.349497689378808,9,162.0
185.0,10,112.0,2.4347826086956523,5.745150506521605,5,145.0,0.3650754218468949,4,30.0,0.20531832035996272,0,16.0,0.5466913995215202,9,191.0
190.0,9,59.0,1.3409090909090908,4.961970634044797,3,110.0,0.39232626839120527,2,30.0,0.2274527940158446,3,24.0,0.4019849132718084,8,164.0
195.0,10,47.0,1.0681818181818181,3.7825799003128666,3,83.0,0.32852832588253394,0,23.0,0.34048826055672343,6,44.0,0.185273545986542,9,150.0
200.0,12,88.0,1.872340425531915,3.5442239832002955,0,81.0,0.2736478819853222,2,30.0,0.3914904040113677,9,86.0,0.1406462618987963,11,197.0
205.0,21,173.0,3.392156862745098,3.6957372613688,4,84.0,0.27212585220916885,4,46.0,0.27759050928690204,12,142.0,0.13876396858748868,20,272.0
210.0,27,291.0,5.388888888888889,3.99410247619831,5,106.0,0.32307716905438494,8,77.0,0.24166807529777773,13,202.0,0.15596791195209808,26,385.0
215.0,24,319.0,6.018867924528302,3.8920317813469847,5,131.0,0.39659371714638375,10,122.0,0.09077849576121706,9,239.0,0.19661464481345825,24,492.0
220.0,29,333.0,6.166666666666667,3.336302199083289,6,159.0,0.37810903168369275,14,184.0,0.008445019247099434,9,283.0,0.16246751537488058,29,626.0
225.0,26,309.0,5.421052631578948,2.803957522176572,8,192.0,0.16367081629369912,13,220.0,0.01311108169115999,5,270.0,0.12491813562847354,26,682.0
230.0,19,259.0,4.625,3.572631553078064,10,239.0,0.2025249297538697,5,247.0,0.1874329943854211,3,249.0,0.216361111878196,18,735.0
235.0,17,242.0,4.4,3.812569453256954,12,292.0,0.25070078901217757,0,219.0,0.2268606508870863,4,264.0,0.23402731331567092,16,775.0
240.0,21,298.0,5.137931034482759,3.788710163304228,10,324.0,0.25107959262730495,2,216.0,0.25365453962406753,8,294.0,0.1831010641469732,20,834.0
245.0,25,344.0,5.830508474576271,3.8152155775608487,10,366.0,0.2770331562685691,5,234.0,0.19352028171120703,10,322.0,0.10594546607340327,25,922.0
250.0,30,440.0,7.586206896551724,3.523986031917482,11,419.0,0.2897748717858649,8,268.0,0.012541842587546752,11,380.0,0.07486723167080926,30,1067.0
255.0,30,502.0,8.807017543859649,2.6687222101536796,13,483.0,0.12523972344419068,10,268.0,0.0005293987408717566,7,362.0,0.07446812996716969,30,1113.0
260.0,26,525.0,9.051724137931034,3.956984510236381,16,559.0,0.030734815254844488,6,306.0,0.2545329831260536,4,280.0,0.1787220653280218,26,1145.0
265.0,21,575.0,10.849056603773585,3.9060339222687017,16,639.0,0.08531886099989076,5,330.0,0.2333005581262702,0,180.0,0.3021122554291126,21,1149.0
270.0,15,545.0,10.9,4.64981548983622,13,685.0,0.11235526604874001,2,250.0,0.3546144422641377,0,102.0,0.4650224496721956,15,1037.0
275.0,14,556.0,10.296296296296296,5.757836545496014,12,745.0,0.17617923172375782,1,170.0,0.3692103509595687,1,20.0,0.5051496218691931,14,935.0
280.0,12,602.0,11.358490566037736,6.511467653749993,11,746.0,0.22353887746937903,0,92.0,0.5617280513556502,1,1.0,0.5782867218561725,12,839.0
285.0,10,651.0,12.764705882352942,6.775103577117815,10,775.0,0.25517059216938903,0,31.0,0.6071985930294077,0,0.0,0.6564021508590066,10,806.0
290.0,13,705.0,14.6875,6.086590827377978,11,790.0,0.2950012319804442,0,3.0,0.6414411856320725,2,2.0,0.3432039860695287,13,795.0
295.0,18,781.0,16.270833333333332,4.734603547563231,11,834.0,0.26367845312174737,0,0.0,0.6051758805166665,7,23.0,0.17400224660903743,18,857.0
300.0,15,537.0,10.74,3.3874505436616484,11,755.0,0.14902082236166608,0,2.0,0.5120150448627911,4,38.0,0.1312333990041675,15,795.0
305.0,14,154.0,3.08,3.8651640937993443,10,577.0,0.18289193633728096,2,10.0,0.4515685894100761,2,25.0,0.1702387988245456,14,612.0
310.0,9,32.0,0.5925925925925926,5.144510699368807,3,593.0,0.19135648973642277,5,29.0,0.3440485403457863,1,12.0,0.34785398136870516,9,634.0
315.0,7,24.0,0.43636363636363634,6.401906839797437,5,585.0,0.2285137615090349,2,29.0,0.45029152909732534,0,7.0,0.6217985653840491,7,621.0
320.0,8,49.0,0.9245283018867925,6.606961209992573,8,611.0,0.2669486535794964,0,17.0,0.5007302365507659,0,3.0,0.7072863256317724,8,631.0
325.0,12,96.0,1.7777777777777777,6.893940063368924,11,656.0,0.2665080606714975,0,2.0,0.5786763124606457,1,0.0,0.6925222200183065,12,658.0
330.0,11,151.0,2.9038461538461537,7.46229185923791,10,705.0,0.28149718918642697,1,5.0,0.6652244171903118,0,0.0,0.7360981259531002,11,710.0
335.0,13,210.0,4.2,5.682100238575265,10,755.0,0.23556693318913702,1,10.0,0.5533070905514282,2,4.0,0.37438174575012967,13,769.0
340.0,20,209.0,4.26530612244898,3.4916161414202413,9,681.0,0.17859314391548115,2,20.0,0.48774603368135927,9,30.0,0.18449843821366385,20,731.0
345.0,18,109.0,2.18,2.2351050426950314,11,496.0,0.11674909454717508,1,9.0,0.4223663977893601,6,54.0,0.12177806288948621,18,559.0
350.0,17,53.0,0.9814814814814815,2.3998930765449624,8,527.0,0.11997998341615233,3,25.0,0.37678576749840476,5,66.0,0.12419796501696417,16,618.0
355.0,20,81.0,1.4464285714285714,3.5019537712898425,8,534.0,0.2138263102004658,6,48.0,0.36619844180023225,6,92.0,0.12902976906403427,20,674.0
360.0,25,164.0,2.8771929824561404,3.122121674867796,9,552.0,0.2732729392809601,8,84.0,0.048248795188143845,8,125.0,0.06419238078444005,25,761.0
365.0,27,233.0,4.017241379310345,2.303167438840095,10,596.0,0.22157158742149702,10,112.0,0.001998520239979224,7,136.0,0.06660290588674758,27,844.0
370.0,27,247.0,4.116666666666666,2.4098873712884368,14,653.0,0.10886671296738439,6,154.0,0.21020672305784335,6,157.0,0.08605057960544753,26,964.0
375.0,26,302.0,5.033333333333333,2.7233763294465176,16,723.0,0.12535104827537666,4,176.0,0.23137926879359302,5,174.0,0.14935313108062195,25,1073.0
380.0,31,362.0,5.838709677419355,2.6775791587605697,15,785.0,0.22342411591799816,7,207.0,0.14618052791929706,9,209.0,0.13590112216062836,31,1201.0
385.0,35,467.0,7.412698412698413,2.0619610489763422,15,862.0,0.16806246785932638,11,255.0,0.0020313463037079844,9,254.0,0.052316448455737866,35,1371.0
390.0,43,617.0,9.640625,0.7656873429715818,17,944.0,0.028669444107960174,11,276.0,2.5511349613249277e-05,15,314.0,0.030927206629734496,43,1534.0
395.0,45,640.0,10.158730158730158,0.5799084206564699,24,1053.0,0.004702892949330482,6,264.0,0.04922352397699824,15,336.0,0.03774400756151309,45,1653.0
400.0,38,676.0,10.5625,2.016698217831262,25,1175.0,0.031709697136666215,4,288.0,0.17288550370934153,8,252.0,0.11828749416333204,37,1715.0
405.0,29,672.0,10.338461538461539,3.756229599534238,22,1244.0,0.06945736921926657,6,266.0,0.25598756328368377,0,170.0,0.3280078001880614,28,1680.0
410.0,25,687.0,11.262295081967213,2.6151430836575615,19,1339.0,0.08153868388206728,4,287.0,0.12578612316861795,2,182.0,0.32812111687098344,25,1808.0
415.0,27,733.0,11.82258064516129,1.945973829610925,20,1434.0,0.10229613785912811,0,213.0,0.1777989855657779,7,212.0,0.1401538028351802,27,1859.0
420.0,28,790.0,12.153846153846153,2.440650357054455,19,1449.0,0.16564009144160416,0,141.0,0.3188757848468498,9,206.0,0.08725865665801864,28,1796.0
425.0,26,855.0,12.761194029850746,3.3166847420891488,18,1506.0,0.1467152510173954,3,147.0,0.37008066003400414,5,143.0,0.1328859696562082,26,1796.0
430.0,22,941.0,14.257575757575758,3.9291661006327603,17,1560.0,0.08538835503649413,5,163.0,0.31022109059050074,0,73.0,0.35331285431869475,22,1796.0
435.0,22,1031.0,16.109375,3.9044940082602566,18,1621.0,0.05598269909793983,4,148.0,0.25458794245591754,0,30.0,0.5856644653720032,22,1799.0
440.0,24,1116.0,17.4375,4.057621668649901,21,1723.0,0.1221350697888769,3,87.0,0.28491729887105294,0,16.0,0.5755699069018924,24,1826.0
445.0,27,1220.0,18.208955223880597,3.9856665829997278,25,1804.0,0.09633299190069215,0,21.0,0.35585991546396706,1,11.0,0.3966494517050953,26,1836.0
450.0,28,1324.0,19.470588235294116,4.510269283210496,22,1886.0,0.14041635275723882,1,19.0,0.6068055477484714,4,26.0,0.2911521013252206,27,1931.0
455.0,29,1442.0,22.184615384615384,4.087921432292427,19,1898.0,0.18894904883055982,2,22.0,0.540945915125987,7,57.0,0.15197059924461503,28,1977.0
460.0,32,1530.0,23.53846153846154,3.522643657946524,18,1957.0,0.21334723628961533,4,37.0,0.2690030051394992,10,91.0,0.11367360341585742,32,2085.0
465.0,35,1304.0,19.757575757575758,2.6723279036062566,17,1812.0,0.176685907051274,7,69.0,0.06289130301370473,11,142.0,0.08542904467818242,35,2023.0
470.0,34,831.0,12.590909090909092,1.558071939191572,18,1896.0,0.05980276378153024,10,97.0,0.003253459377045935,6,150.0,0.09295865352660798,34,2143.0
475.0,28,465.0,6.642857142857143,2.6776502695952944,19,1986.0,0.04788727883960726,5,109.0,0.21576805866960863,4,116.0,0.1819348565610381,28,2211.0
480.0,23,241.0,3.4927536231884058,3.545108589209226,20,2063.0,0.06890868854380831,3,130.0,0.2172031670525067,0,63.0,0.33746383114621614,23,2256.0
485.0,20,144.0,2.1818181818181817,3.8973370594596606,17,2116.0,0.02638357151729768,3,123.0,0.18454801954541347,0,39.0,0.6336585948383983,20,2278.0
490.0,21,178.0,2.8253968253968256,4.051886829269056,19,2208.0,0.0705114122778667,2,93.0,0.21849218605434934,0,9.0,0.6904740039064379,21,2310.0
495.0,22,246.0,4.032786885245901,4.342013467038056,21,2280.0,0.12434814967237787,0,50.0,0.34190856549227594,1,2.0,0.6249462446447926,22,2332.0
500.0,19,320.0,5.245901639344262,5.621498351673554,19,2329.0,0.14948812154465985,0,28.0,0.5948029342857356,0,0.0,0.6062987174048355,19,2357.0
505.0,18,405.0,6.982758620689655,5.353860320260557,18,2387.0,0.1274654381670609,0,17.0,0.3750298728559152,0,0.0,0.5728201630566827,18,2404.0
510.0,25,507.0,8.741379310344827,3.988279165625315,18,2444.0,0.13171447998100647,6,36.0,0.16282817686237017,1,0.0,0.578439635261814,25,2480.0
515.0,23,464.0,8.285714285714286,3.0278284662636006,16,2267.0,0.1320195936774332,7,48.0,0.10480608167119372,0,2.0,0.5085250920165802,23,2317.0
520.0,20,326.0,5.719298245614035,3.3138030418812847,16,2112.0,0.16917417516508276,3,44.0,0.1778042446985213,1,2.0,0.6051063044053435,20,2158.0
525.0,19,228.0,3.8,4.142267962548613,17,2170.0,0.16582395812691117,0,29.0,0.36641140545959794,2,6.0,0.4909294084440288,19,2205.0
530.0,16,124.0,1.9682539682539681,3.9432735602172913,13,2206.0,0.13213585048225843,3,34.0,0.27753902389950574,0,3.0,0.35362663852578907,16,2243.0
535.0,25,125.0,1.9230769230769231,2.906225929461397,12,2238.0,0.10134378506057957,7,65.0,0.12650595513522025,6,13.0,0.16246708192621478,25,2316.0
540.0,32,211.0,3.296875,2.07660467443534,15,2290.0,0.10884481564164844,8,86.0,0.07004598546480012,9,48.0,0.10434856838154166,32,2424.0
545.0,27,251.0,3.921875,2.931181527538902,19,2375.0,0.1513213663353597,3,61.0,0.18387105212948796,5,62.0,0.2408321226164609,27,2498.0
550.0,28,333.0,4.970149253731344,4.231044380610504,25,2474.0,0.12304663010353042,0,33.0,0.5764778460360912,3,40.0,0.32801047943071965,28,2547.0
555.0,26,422.0,6.492307692307692,4.191026739219603,24,2585.0,0.05890915695508159,2,41.0,0.3478672301890354,0,20.0,0.44251156737120506,26,2646.0
560.0,34,550.0,8.59375,2.909112455688015,22,2666.0,0.04552928336613057,9,70.0,0.15401122575342951,2,10.0,0.3793826422940995,33,2746.0
565.0,33,663.0,10.693548387096774,2.145015362477997,21,2763.0,0.09646301467779905,9,90.0,0.064218834951179,2,9.0,0.44808355788733983,32,2862.0
570.0,32,759.0,11.676923076923076,3.032484135016825,23,2876.0,0.1302646593567019,7,82.0,0.14387755202467054,2,15.0,0.49453027938429545,32,2973.0
575.0,31,823.0,12.102941176470589,3.559601598952294,25,2718.0,0.10397555570594312,0,50.0,0.31271128962968336,6,27.0,0.35849950952755677,31,2795.0
