run,time,traffic_light_id,action
1,420.0,J2,0
1,420.0,J3,0
1,425.0,J1,0
1,425.0,J2,1
1,425.0,J3,0
1,430.0,J1,1
1,430.0,J2,0
1,430.0,J3,0
1,435.0,J1,0
1,435.0,J2,0
1,435.0,J3,0
1,440.0,J1,0
1,440.0,J2,0
1,440.0,J3,0
1,445.0,J1,0
1,445.0,J2,1
1,445.0,J3,0
1,450.0,J1,0
1,450.0,J2,1
1,450.0,J3,0
1,455.0,J1,0
1,455.0,J2,0
1,455.0,J3,0
1,460.0,J1,1
1,460.0,J2,0
1,460.0,J3,0
1,465.0,J1,0
1,465.0,J2,0
1,465.0,J3,0
1,470.0,J1,0
1,470.0,J2,1
1,470.0,J3,0
1,475.0,J1,0
1,475.0,J2,0
1,475.0,J3,0
1,480.0,J1,0
1,480.0,J2,0
1,480.0,J3,0
1,485.0,J1,0
1,485.0,J2,0
1,485.0,J3,1
1,490.0,J1,0
1,490.0,J2,0
1,490.0,J3,0
1,495.0,J1,0
1,495.0,J2,1
1,495.0,J3,0
1,500.0,J1,0
1,500.0,J2,1
1,500.0,J3,0
1,505.0,J1,1
1,505.0,J2,0
1,505.0,J3,0
1,510.0,J1,0
1,510.0,J2,0
1,510.0,J3,0
1,515.0,J1,0
1,515.0,J2,0
1,515.0,J3,0
1,520.0,J1,0
1,520.0,J2,0
1,520.0,J3,0
1,525.0,J1,0
1,525.0,J2,0
1,525.0,J3,0
1,530.0,J1,0
1,530.0,J2,0
1,530.0,J3,0
1,535.0,J1,0
1,535.0,J2,0
1,535.0,J3,0
1,540.0,J1,0
1,540.0,J2,0
1,540.0,J3,0
1,545.0,J1,0
1,545.0,J2,0
1,545.0,J3,1
1,550.0,J1,0
1,550.0,J2,0
1,550.0,J3,0
1,555.0,J1,1
1,555.0,J2,1
1,555.0,J3,0
1,560.0,J1,0
1,560.0,J2,0
1,560.0,J3,0
1,565.0,J1,0
1,565.0,J2,0
1,565.0,J3,1
1,570.0,J1,0
1,570.0,J2,0
1,570.0,J3,0
1,575.0,J1,0
1,575.0,J2,0
1,575.0,J3,0
1,580.0,J1,0
1,580.0,J2,0
1,580.0,J3,0
1,585.0,J1,0
1,585.0,J2,0
1,585.0,J3,0
1,590.0,J1,0
1,590.0,J2,0
1,590.0,J3,0
1,595.0,J1,0
1,595.0,J2,0
1,595.0,J3,0
1,600.0,J1,0
1,600.0,J2,0
1,600.0,J3,1
1,605.0,J1,1
1,605.0,J2,1
1,605.0,J3,0
1,610.0,J1,0
1,610.0,J2,0
1,610.0,J3,0
1,615.0,J1,0
1,615.0,J2,0
1,615.0,J3,0
1,620.0,J1,0
1,620.0,J2,0
1,620.0,J3,0
1,625.0,J1,0
1,625.0,J2,0
1,625.0,J3,0
1,630.0,J1,0
1,630.0,J2,0
1,630.0,J3,1
1,635.0,J1,0
1,635.0,J2,0
1,635.0,J3,0
1,640.0,J1,1
1,640.0,J2,1
1,640.0,J3,0
1,645.0,J1,0
1,645.0,J2,0
1,645.0,J3,0
1,650.0,J1,0
1,650.0,J2,0
1,650.0,J3,0
1,655.0,J1,0
1,655.0,J2,0
1,655.0,J3,0
1,660.0,J1,0
1,660.0,J2,0
1,660.0,J3,0
1,665.0,J1,0
1,665.0,J2,0
1,665.0,J3,0
1,670.0,J1,0
1,670.0,J2,1
1,670.0,J3,0
1,675.0,J1,0
1,675.0,J2,0
1,675.0,J3,0
1,680.0,J1,1
1,680.0,J2,0
1,680.0,J3,0
1,685.0,J1,0
1,685.0,J2,0
1,685.0,J3,1
1,690.0,J1,0
1,690.0,J2,0
1,690.0,J3,0
1,695.0,J1,0
1,695.0,J2,0
1,695.0,J3,0
1,700.0,J1,0
1,700.0,J2,0
1,700.0,J3,0
1,705.0,J1,0
1,705.0,J2,0
1,705.0,J3,0
1,710.0,J1,0
1,710.0,J2,0
1,710.0,J3,0
1,715.0,J1,0
