Czas(s),Calkowity czas oczekiwania(s)
1880.0,250.0
1885.0,255.0
1890.0,265.0
1895.0,270.0
1900.0,215.0
1905.0,220.0
1910.0,220.0
1915.0,225.0
1920.0,230.0
1925.0,260.0
1930.0,270.0
1935.0,260.0
1940.0,275.0
1945.0,275.0
1950.0,260.0
1955.0,230.0
1960.0,195.0
1965.0,190.0
1970.0,180.0
1975.0,185.0
1980.0,170.0
1985.0,165.0
1990.0,140.0
1995.0,145.0
2000.0,170.0
2005.0,195.0
2010.0,155.0
2015.0,170.0
2020.0,165.0
2025.0,180.0
2030.0,210.0
2035.0,215.0
2040.0,185.0
2045.0,210.0
2050.0,225.0
2055.0,240.0
2060.0,245.0
2065.0,275.0
2070.0,250.0
2075.0,270.0
2080.0,265.0
2085.0,225.0
2090.0,225.0
2095.0,210.0
2100.0,205.0
2105.0,200.0
2110.0,210.0
2115.0,255.0
2120.0,260.0
2125.0,230.0
2130.0,270.0
2135.0,300.0
2140.0,295.0
2145.0,310.0
2150.0,325.0
2155.0,305.0
2160.0,300.0
2165.0,345.0
2170.0,375.0
2175.0,345.0
2180.0,370.0
2185.0,390.0
2190.0,340.0
2195.0,325.0
2200.0,345.0
2205.0,310.0
2210.0,240.0
2215.0,265.0
2220.0,240.0
2225.0,265.0
2230.0,270.0
2235.0,275.0
2240.0,305.0
2245.0,270.0
2250.0,285.0
2255.0,290.0
2260.0,320.0
2265.0,355.0
2270.0,390.0
2275.0,365.0
2280.0,385.0
2285.0,425.0
2290.0,440.0
2295.0,495.0
2300.0,510.0
2305.0,510.0
2310.0,510.0
2315.0,435.0
2320.0,460.0
2325.0,480.0
2330.0,505.0
2335.0,545.0
2340.0,530.0
2345.0,495.0
2350.0,530.0
2355.0,540.0
2360.0,535.0
2365.0,490.0
2370.0,445.0
2375.0,425.0
2380.0,415.0
2385.0,420.0
2390.0,430.0
2395.0,430.0
2400.0,315.0
2405.0,425.0
2410.0,405.0
2415.0,325.0
2420.0,285.0
2425.0,175.0
2430.0,180.0
2435.0,210.0
2440.0,200.0
2445.0,200.0
2450.0,200.0
2455.0,245.0
2460.0,280.0
2465.0,300.0
2470.0,285.0
2475.0,310.0
2480.0,330.0
2485.0,325.0
2490.0,335.0
2495.0,300.0
2500.0,320.0
2505.0,340.0
2510.0,330.0
2515.0,300.0
2520.0,300.0
2525.0,265.0
2530.0,250.0
2535.0,270.0
2540.0,250.0
2545.0,250.0
2550.0,235.0
2555.0,250.0
2560.0,275.0
2565.0,300.0
2570.0,325.0
2575.0,325.0
2580.0,340.0
2585.0,300.0
2590.0,325.0
2595.0,265.0
2600.0,215.0
2605.0,215.0
2610.0,225.0
