Krok	CzasOczekiwania(s)	ZatrzymanePojazdy	SredniaPredkosc(m/s)
4096	138.00	27	4.41
4097	159.00	27	4.34
4098	153.00	33	4.38
4099	147.00	27	4.50
4100	138.00	27	4.52
4101	129.00	24	4.51
4102	120.00	21	4.56
4103	111.00	21	4.47
4104	99.00	18	4.52
4105	81.00	12	4.66
4106	66.00	9	4.79
4107	51.00	6	4.80
4108	33.00	3	4.97
4109	3.00	3	4.87
4110	0.00	0	4.97
4111	0.00	0	4.92
4112	0.00	0	4.88
4113	0.00	0	4.93
4114	0.00	0	5.00
4115	3.00	3	5.00
4116	0.00	0	4.98
4117	0.00	0	4.93
4118	0.00	0	4.78
4119	3.00	3	4.88
4120	6.00	6	4.59
4121	0.00	0	4.65
4122	0.00	0	4.72
4123	0.00	0	4.84
4124	0.00	0	4.83
4125	0.00	0	4.88
4126	0.00	0	4.86
4127	0.00	0	4.78
4128	3.00	3	4.91
4129	0.00	0	4.95
4130	0.00	0	4.90
4131	0.00	0	5.10
4132	3.00	3	4.90
4133	0.00	0	4.98
4134	0.00	0	5.31
4135	0.00	0	5.23
4136	0.00	0	5.07
4137	0.00	0	4.99
4138	0.00	0	5.11
4139	0.00	0	5.10
4140	0.00	0	5.19
4141	0.00	0	5.15
4142	0.00	0	5.13
4143	3.00	3	5.14
4144	6.00	3	5.22
4145	12.00	6	5.29
4146	9.00	6	5.29
4147	9.00	6	5.53
4148	9.00	6	5.70
4149	6.00	3	5.67
4150	9.00	3	5.77
4151	0.00	0	5.85
4152	0.00	0	5.90
4153	3.00	3	6.05
4154	6.00	3	6.09
4155	15.00	9	6.15
4156	18.00	6	6.21
4157	27.00	9	6.21
4158	18.00	6	6.13
4159	15.00	9	6.15
4160	15.00	9	6.14
4161	18.00	9	6.22
4162	15.00	6	6.28
4163	12.00	6	6.47
4164	6.00	3	6.48
4165	3.00	3	6.35
4166	9.00	9	6.31
4167	6.00	6	6.40
4168	3.00	3	6.41
4169	0.00	0	6.36
4170	0.00	0	6.39
4171	0.00	0	6.54
4172	0.00	0	6.53
4173	0.00	0	6.59
4174	0.00	0	6.62
4175	0.00	0	6.55
4176	0.00	0	6.67
4177	0.00	0	6.62
4178	0.00	0	6.71
4179	0.00	0	6.70
4180	0.00	0	6.92
4181	0.00	0	6.84
4182	0.00	0	6.70
4183	0.00	0	6.86
4184	0.00	0	6.85
4185	0.00	0	6.92
4186	0.00	0	6.86
4187	0.00	3	6.98
4188	3.00	3	6.90
4189	0.00	0	6.95
4190	0.00	0	6.84
4191	0.00	0	6.65
4192	0.00	0	6.64
4193	0.00	0	6.80
4194	0.00	0	7.17
4195	0.00	0	6.99
4196	0.00	0	7.12
4197	0.00	0	7.17
4198	0.00	0	7.20
4199	0.00	0	7.24
4200	0.00	0	7.27
4201	0.00	0	7.44
4202	0.00	0	7.41
4203	0.00	0	7.65
4204	0.00	0	7.64
4205	0.00	0	7.82
4206	0.00	0	7.84
4207	0.00	0	8.05
4208	0.00	0	8.07
4209	0.00	0	8.36
4210	0.00	0	8.56
4211	0.00	0	8.41
4212	0.00	0	8.57
4213	0.00	0	8.63
4214	0.00	0	8.84
4215	0.00	0	8.93
4216	0.00	0	9.28
4217	0.00	0	9.64
4218	0.00	0	9.78
4219	0.00	0	10.01
4220	0.00	0	10.12
4221	0.00	0	10.07
4222	0.00	0	10.04
4223	0.00	0	10.19
4224	0.00	0	10.33
4225	0.00	0	10.61
4226	0.00	0	10.89
4227	0.00	0	10.92
4228	3.00	3	11.03
4229	0.00	0	10.91
4230	0.00	0	10.90
4231	0.00	0	10.72
4232	0.00	0	10.82
4233	0.00	0	10.79
4234	0.00	0	11.07
4235	0.00	0	11.17
4236	0.00	0	10.95
4237	0.00	0	10.83
4238	0.00	0	10.72
4239	0.00	0	10.64
4240	0.00	0	10.51
4241	0.00	0	10.31
4242	0.00	0	10.39
4243	0.00	0	10.20
4244	0.00	0	10.27
4245	0.00	0	10.62
4246	0.00	0	10.63
4247	0.00	0	10.58
4248	0.00	0	10.47
4249	0.00	0	10.72
4250	0.00	0	10.89
4251	0.00	0	11.11
4252	0.00	0	11.10
4253	0.00	0	11.20
4254	0.00	0	11.15
4255	0.00	0	11.14
4256	0.00	0	11.05
4257	0.00	0	10.86
4258	0.00	0	10.79
4259	0.00	0	10.70
4260	0.00	0	10.94
4261	0.00	0	10.85
4262	0.00	0	10.87
4263	0.00	0	10.94
4264	0.00	0	10.84
4265	0.00	0	10.97
4266	0.00	0	11.03
4267	0.00	0	11.19
4268	0.00	0	11.01
4269	0.00	0	11.11
4270	0.00	0	11.15
4271	0.00	0	11.10
4272	0.00	0	11.15
4273	0.00	0	11.06
4274	0.00	0	11.08
4275	0.00	0	11.18
4276	0.00	0	11.00
4277	0.00	0	11.20
4278	0.00	0	11.23
4279	0.00	0	11.24
4280	0.00	0	11.10
4281	0.00	0	11.06
4282	0.00	0	11.24
4283	0.00	0	11.28
4284	0.00	0	11.00
4285	0.00	0	10.96
4286	0.00	0	10.81
4287	0.00	0	10.72
4288	0.00	0	10.77
4289	0.00	0	10.78
4290	0.00	0	10.79
4291	0.00	0	10.83
4292	0.00	0	11.09
4293	0.00	0	10.97
4294	0.00	0	10.88
4295	0.00	0	10.79
4296	0.00	0	10.54
4297	0.00	0	10.60
4298	0.00	0	10.63
4299	0.00	0	10.54
4300	0.00	0	10.66
4301	0.00	0	10.61
4302	0.00	0	10.65
4303	0.00	0	10.51
4304	0.00	0	10.63
4305	0.00	0	10.72
4306	0.00	0	10.97
4307	0.00	0	10.84
4308	0.00	0	10.94
4309	0.00	0	10.80
4310	0.00	0	11.07
4311	0.00	0	10.88
4312	0.00	0	11.11
4313	0.00	0	11.03
4314	0.00	0	11.21
4315	0.00	0	11.15
4316	0.00	0	11.26
4317	0.00	0	11.27
4318	0.00	0	11.06
4319	0.00	0	11.05
4320	0.00	0	11.22
4321	0.00	0	10.89
4322	0.00	0	10.99
4323	0.00	0	10.98
4324	0.00	0	11.15
4325	0.00	0	11.16
4326	0.00	0	11.19
4327	0.00	0	10.98
4328	0.00	0	11.20
4329	0.00	0	11.30
4330	0.00	0	11.21
4331	0.00	0	11.27
4332	0.00	0	11.14
4333	0.00	0	11.27
4334	0.00	0	11.31
4335	0.00	0	11.15
4336	0.00	0	11.22
4337	0.00	0	11.08
4338	0.00	0	11.15
4339	0.00	0	11.47
4340	0.00	0	11.46
4341	0.00	0	11.51
4342	0.00	0	11.47
4343	0.00	0	11.58
4344	0.00	0	11.62
4345	0.00	0	11.54
4346	0.00	0	11.37
4347	0.00	0	11.41
4348	0.00	0	11.51
4349	0.00	0	11.69
4350	0.00	0	11.57
4351	0.00	0	11.76
4352	0.00	0	11.88
4353	0.00	0	11.72
4354	0.00	0	11.57
4355	0.00	0	11.31
4356	0.00	0	11.39
4357	0.00	0	11.54
4358	0.00	0	11.76
4359	0.00	0	11.74
4360	0.00	0	11.61
4361	0.00	0	11.63
4362	0.00	0	11.52
4363	0.00	0	11.60
4364	0.00	0	11.42
4365	0.00	0	11.65
4366	0.00	0	11.63
4367	0.00	0	11.70
4368	0.00	0	11.79
4369	0.00	0	11.63
4370	0.00	0	11.83
4371	0.00	0	11.63
4372	0.00	0	11.79
4373	0.00	0	11.78
4374	0.00	0	11.58
4375	0.00	0	11.50
4376	0.00	0	11.25
4377	0.00	0	10.98
4378	0.00	0	11.01
4379	0.00	0	11.33
4380	0.00	0	11.41
4381	0.00	0	11.35
4382	0.00	0	11.26
4383	0.00	0	11.10
4384	0.00	0	11.17
4385	0.00	0	10.89
4386	0.00	0	11.11
4387	0.00	0	11.48
4388	0.00	0	11.24
4389	0.00	0	11.14
4390	0.00	0	10.97
4391	0.00	0	10.87
4392	0.00	0	11.19
4393	0.00	0	11.42
4394	0.00	0	11.63
4395	0.00	0	11.88
4396	0.00	0	11.78
4397	0.00	0	11.98
4398	0.00	0	11.53
4399	0.00	0	11.74
4400	0.00	0	11.46
4401	0.00	0	11.49
4402	0.00	0	11.62
4403	0.00	0	11.32
4404	0.00	0	11.31
4405	0.00	0	11.02
4406	0.00	0	11.02
4407	0.00	0	11.24
4408	0.00	0	11.53
4409	0.00	0	11.36
4410	0.00	0	11.26
4411	0.00	0	11.22
4412	0.00	0	11.06
4413	0.00	0	11.20
4414	0.00	0	11.08
4415	0.00	0	11.06
4416	0.00	3	10.97
4417	3.00	3	11.07
4418	0.00	0	11.13
4419	0.00	0	11.28
4420	0.00	0	11.09
4421	0.00	0	11.31
4422	0.00	0	11.20
4423	0.00	0	11.39
4424	0.00	0	11.20
4425	0.00	0	11.23
4426	0.00	0	11.31
4427	0.00	0	11.34
4428	0.00	0	11.31
4429	0.00	0	11.34
4430	0.00	0	11.52
4431	0.00	0	11.74
4432	0.00	0	11.57
4433	0.00	0	11.38
4434	0.00	0	11.28
4435	0.00	0	11.15
4436	0.00	0	11.16
4437	0.00	0	11.18
4438	0.00	0	11.31
4439	0.00	0	11.43
4440	0.00	0	11.63
4441	0.00	0	11.49
4442	0.00	0	11.31
4443	0.00	0	11.34
4444	0.00	3	11.11
4445	0.00	0	11.31
4446	0.00	0	11.53
4447	0.00	0	11.41
4448	0.00	0	11.34
4449	0.00	0	11.24
4450	0.00	0	10.88
4451	0.00	0	10.95
4452	0.00	0	11.07
4453	0.00	0	10.99
4454	0.00	0	11.06
4455	0.00	0	10.97
4456	0.00	0	10.95
4457	0.00	0	11.15
4458	0.00	0	10.98
4459	0.00	0	10.76
4460	0.00	0	10.94
4461	0.00	0	10.83
4462	0.00	0	10.78
4463	0.00	0	10.45
4464	0.00	0	10.37
4465	0.00	0	10.57
4466	0.00	0	10.25
4467	0.00	0	10.40
4468	0.00	0	10.46
4469	0.00	0	10.31
4470	0.00	0	10.34
4471	0.00	0	10.45
4472	0.00	0	10.70
4473	0.00	0	10.76
4474	0.00	0	10.71
4475	0.00	0	10.85
4476	0.00	0	10.87
4477	0.00	0	11.15
4478	0.00	0	11.14
4479	0.00	0	10.97
4480	0.00	0	11.01
4481	0.00	0	10.84
4482	0.00	0	10.94
4483	0.00	0	10.91
4484	0.00	0	11.04
4485	0.00	0	11.18
4486	0.00	0	10.93
4487	0.00	0	10.88
4488	0.00	0	11.02
4489	0.00	0	10.72
4490	0.00	0	10.72
4491	0.00	0	10.94
4492	0.00	0	10.99
4493	0.00	0	11.08
4494	0.00	0	11.06
4495	0.00	0	11.51
4496	0.00	0	11.37
4497	0.00	0	11.40
4498	0.00	0	11.49
4499	0.00	0	11.40
4500	0.00	0	11.26
4501	0.00	0	10.88
4502	0.00	0	11.01
4503	0.00	0	10.95
4504	0.00	0	11.05
4505	0.00	0	11.15
4506	0.00	0	11.32
4507	0.00	0	11.29
4508	0.00	0	11.25
4509	0.00	0	11.22
4510	0.00	0	11.32
4511	0.00	0	11.39
4512	0.00	0	11.43
4513	0.00	0	11.35
4514	0.00	0	10.96
4515	0.00	0	10.85
4516	0.00	0	10.88
4517	0.00	0	10.84
4518	0.00	0	11.13
4519	0.00	0	11.21
4520	0.00	0	11.25
4521	0.00	0	11.38
4522	0.00	0	11.36
4523	0.00	0	10.92
4524	0.00	0	11.00
4525	0.00	0	11.25
4526	0.00	0	11.19
4527	0.00	0	11.21
4528	0.00	0	10.85
4529	0.00	0	10.88
4530	0.00	0	10.89
4531	0.00	0	10.71
4532	0.00	0	10.73
4533	0.00	0	10.68
4534	0.00	0	10.91
4535	0.00	0	11.17
4536	0.00	0	11.39
4537	0.00	0	11.57
4538	0.00	0	11.39
4539	0.00	0	11.58
4540	0.00	0	11.72
4541	0.00	0	11.63
4542	0.00	0	11.53
4543	0.00	0	11.48
4544	0.00	0	11.02
4545	0.00	0	10.99
4546	0.00	0	10.78
4547	0.00	0	10.59
4548	0.00	0	10.62
4549	0.00	0	10.54
4550	0.00	0	10.74
4551	0.00	0	10.48
4552	0.00	0	10.62
4553	0.00	0	10.37
4554	3.00	3	10.48
4555	0.00	0	10.89
4556	0.00	0	10.92
4557	0.00	0	10.74
4558	0.00	0	10.60
4559	0.00	0	10.45
4560	0.00	0	10.46
4561	0.00	0	10.52
4562	0.00	0	10.63
4563	0.00	0	10.46
4564	0.00	0	10.75
4565	0.00	0	10.53
4566	0.00	0	10.59
4567	0.00	0	10.59
4568	0.00	0	10.90
4569	0.00	0	10.95
4570	0.00	0	10.73
4571	0.00	0	10.73
4572	0.00	0	10.88
4573	0.00	0	10.81
4574	0.00	0	10.89
4575	0.00	0	10.91
4576	0.00	0	10.85
4577	0.00	0	10.99
4578	0.00	0	10.78
4579	0.00	0	10.73
4580	0.00	0	10.65
4581	0.00	0	10.55
4582	0.00	0	10.70
4583	0.00	0	10.82
4584	0.00	0	10.67
4585	0.00	0	10.77
4586	0.00	0	10.80
4587	0.00	0	10.85
4588	0.00	0	10.77
4589	0.00	0	10.88
4590	0.00	0	10.76
4591	0.00	0	10.82
4592	0.00	0	10.72
4593	0.00	0	10.77
4594	0.00	0	10.79
4595	0.00	0	11.00
4596	0.00	0	11.25
4597	0.00	0	11.09
4598	0.00	0	11.08
4599	0.00	0	11.16
4600	0.00	0	11.05
4601	0.00	0	10.94
4602	0.00	0	11.03
4603	0.00	0	10.92
4604	0.00	0	11.22
4605	0.00	0	11.41
4606	0.00	0	11.62
4607	0.00	0	11.29
4608	0.00	0	11.17
4609	0.00	0	11.23
4610	0.00	0	11.27
4611	0.00	0	11.17
4612	0.00	0	11.18
4613	0.00	0	11.21
4614	0.00	0	11.10
4615	0.00	0	11.14
4616	0.00	0	11.07
4617	0.00	0	10.96
4618	0.00	0	10.76
4619	0.00	0	10.81
4620	0.00	0	10.85
4621	0.00	0	10.96
4622	0.00	0	10.94
4623	0.00	0	11.23
4624	0.00	0	10.92
4625	0.00	0	10.90
4626	0.00	0	10.76
4627	0.00	0	10.92
4628	0.00	0	10.95
4629	0.00	0	11.22
4630	0.00	0	11.21
4631	0.00	0	11.40
4632	0.00	0	11.46
4633	0.00	0	11.47
4634	0.00	0	11.09
4635	0.00	0	11.00
4636	0.00	0	10.66
4637	0.00	0	10.84
4638	0.00	0	10.74
4639	0.00	0	10.93
4640	0.00	0	11.09
4641	0.00	0	11.07
4642	0.00	0	11.20
4643	0.00	0	11.36
4644	0.00	0	11.14
4645	0.00	0	11.27
4646	0.00	0	11.36
4647	0.00	0	11.40
4648	0.00	0	11.38
4649	0.00	0	11.26
4650	0.00	0	11.27
4651	0.00	0	11.18
4652	0.00	0	11.11
4653	0.00	0	11.11
4654	0.00	0	11.14
4655	0.00	0	11.00
4656	0.00	0	11.07
4657	0.00	0	11.03
4658	0.00	0	10.98
4659	0.00	0	10.91
4660	0.00	0	10.98
4661	0.00	0	10.91
4662	0.00	0	10.86
4663	0.00	0	10.96
4664	0.00	0	11.18
4665	0.00	0	11.34
4666	0.00	0	11.49
4667	0.00	0	11.68
4668	0.00	0	11.79
4669	0.00	0	11.53
4670	0.00	0	11.37
4671	0.00	0	11.61
4672	0.00	0	11.43
4673	0.00	0	11.61
4674	0.00	0	11.66
4675	0.00	0	11.73
4676	0.00	0	11.84
4677	0.00	0	11.74
4678	0.00	0	11.75
4679	0.00	0	11.84
4680	0.00	0	11.87
4681	0.00	0	11.91
4682	0.00	0	11.76
4683	0.00	0	11.85
4684	0.00	0	11.99
4685	0.00	0	11.99
4686	0.00	0	12.13
4687	0.00	0	11.93
4688	0.00	0	11.82
4689	0.00	0	11.90
4690	0.00	0	11.96
4691	0.00	0	11.93
4692	0.00	0	11.89
4693	0.00	0	11.68
4694	0.00	0	11.53
4695	0.00	0	11.68
4696	0.00	0	11.71
4697	0.00	0	11.68
4698	0.00	0	11.68
4699	0.00	0	11.73
4700	0.00	0	11.70
4701	0.00	0	11.30
4702	0.00	0	11.08
4703	0.00	0	10.80
4704	0.00	0	10.53
4705	0.00	0	10.45
4706	0.00	0	10.27
4707	0.00	0	10.66
4708	0.00	0	10.86
4709	0.00	0	11.14
4710	0.00	0	11.16
4711	0.00	0	11.25
4712	0.00	0	11.37
4713	0.00	0	11.38
4714	0.00	0	10.87
4715	0.00	0	10.62
4716	0.00	0	10.86
4717	0.00	0	11.01
4718	0.00	0	11.07
4719	0.00	0	11.07
4720	0.00	0	11.32
4721	0.00	0	11.75
4722	0.00	0	11.80
4723	0.00	0	11.93
4724	0.00	0	11.97
4725	0.00	0	11.73
4726	0.00	0	11.62
4727	0.00	0	11.20
4728	0.00	0	11.04
4729	0.00	0	11.30
4730	0.00	0	11.27
4731	0.00	0	11.53
4732	0.00	0	11.65
4733	0.00	0	11.62
4734	0.00	0	12.06
4735	0.00	0	12.38
4736	0.00	0	12.11
4737	0.00	0	11.27
4738	0.00	0	10.77
4739	0.00	0	10.50
4740	0.00	0	10.48
4741	0.00	0	11.14
4742	0.00	0	11.22
4743	0.00	0	11.68
4744	0.00	0	11.44
4745	0.00	0	11.74
4746	0.00	0	11.76
4747	0.00	0	12.18
4748	0.00	0	11.89
4749	0.00	0	12.05
4750	0.00	0	12.08
4751	0.00	0	12.06
4752	0.00	0	11.88
4753	0.00	0	11.88
4754	0.00	0	11.60
4755	0.00	0	11.57
4756	0.00	0	11.10
4757	0.00	0	10.67
4758	0.00	0	10.57
4759	0.00	0	10.73
4760	0.00	0	10.47
4761	0.00	0	10.63
4762	0.00	0	10.57
4763	0.00	0	10.31
4764	0.00	0	10.33
4765	0.00	0	10.18
4766	0.00	0	9.36
4767	0.00	0	9.61
4768	0.00	0	9.48
4769	0.00	0	9.90
4770	0.00	0	9.81
4771	0.00	0	9.78
4772	0.00	0	9.48
4773	0.00	0	9.61
4774	0.00	0	9.62
4775	0.00	0	9.29
4776	0.00	0	9.41
4777	0.00	0	9.57
4778	0.00	0	9.61
4779	0.00	0	10.01
4780	0.00	0	10.22
4781	0.00	0	10.14
4782	0.00	0	10.74
4783	0.00	0	10.54
4784	0.00	0	12.19
4785	0.00	0	12.43
4786	0.00	0	12.48
4787	0.00	0	0.00
4788	0.00	0	0.00
4789	0.00	0	0.00
4790	0.00	0	0.00
4791	0.00	0	0.00
4792	0.00	0	0.00
4793	0.00	0	0.00
4794	0.00	0	0.00
4795	0.00	0	0.00
4796	0.00	0	0.00
4797	0.00	0	0.00
4798	0.00	0	0.00
4799	0.00	0	0.00
4800	0.00	0	0.00
4801	0.00	0	0.00
4802	0.00	0	0.00
4803	0.00	0	0.00
4804	0.00	0	0.00
4805	0.00	0	0.00
4806	0.00	0	0.00
4807	0.00	0	0.00
4808	0.00	0	0.00
4809	0.00	0	0.00
4810	0.00	0	0.00
4811	0.00	0	0.00
4812	0.00	0	0.00
4813	0.00	0	0.00
4814	0.00	0	0.00
4815	0.00	0	0.00
4816	0.00	0	0.00
4817	0.00	0	0.00
4818	0.00	0	0.00
4819	0.00	0	0.00
4820	0.00	0	0.00
4821	0.00	0	0.00
4822	0.00	0	0.00
4823	0.00	0	0.00
4824	0.00	0	0.00
4825	0.00	0	0.00
4826	0.00	0	0.00
4827	0.00	0	0.00
4828	0.00	0	0.00
4829	0.00	0	0.00
4830	0.00	0	0.00
4831	0.00	0	0.00
4832	0.00	0	0.00
4833	0.00	0	0.00
4834	0.00	0	0.00
4835	0.00	0	0.00
4836	0.00	0	0.00
4837	0.00	0	0.00
4838	0.00	0	0.00
4839	0.00	0	0.00
4840	0.00	0	0.00
4841	0.00	0	0.00
4842	0.00	0	0.00
4843	0.00	0	0.00
4844	0.00	0	0.00
4845	0.00	0	0.00
4846	0.00	0	0.00
4847	0.00	0	0.00
4848	0.00	0	0.00
4849	0.00	0	0.00
4850	0.00	0	0.00
4851	0.00	0	0.00
4852	0.00	0	0.00
4853	0.00	0	0.00
4854	0.00	0	0.00
4855	0.00	0	0.00
4856	0.00	0	0.00
4857	0.00	0	0.00
4858	0.00	0	0.00
4859	0.00	0	0.00
4860	0.00	0	0.00
4861	0.00	0	0.00
4862	0.00	0	0.00
4863	0.00	0	0.00
4864	0.00	0	0.00
4865	0.00	0	0.00
4866	0.00	0	0.00
