Krok	CzasOczekiwania(s)	ZatrzymanePojazdy	SredniaPredkosc(m/s)
0	0.00	0	11.20
1	0.00	0	8.54
2	0.00	0	9.48
3	0.00	0	10.64
4	0.00	0	12.12
5	0.00	0	10.58
6	0.00	0	10.65
7	0.00	3	10.19
8	0.00	0	10.43
9	0.00	0	10.90
10	0.00	0	11.21
11	0.00	0	11.21
12	0.00	0	11.64
13	0.00	0	12.32
14	0.00	0	12.80
15	0.00	0	12.58
16	0.00	0	11.83
17	0.00	0	11.45
18	0.00	0	11.25
19	0.00	0	11.62
20	0.00	0	10.81
21	0.00	0	11.10
22	0.00	0	11.39
23	0.00	0	11.22
24	0.00	0	11.49
25	0.00	0	11.51
26	0.00	0	11.13
27	0.00	0	10.90
28	0.00	0	11.29
29	0.00	0	11.40
30	0.00	0	11.47
31	0.00	0	11.53
32	0.00	0	11.41
33	0.00	0	11.78
34	0.00	0	11.99
35	0.00	0	12.18
36	0.00	0	12.15
37	0.00	0	12.07
38	0.00	0	12.23
39	0.00	0	12.01
40	0.00	0	12.04
41	0.00	0	12.12
42	0.00	0	12.28
43	0.00	0	12.37
44	0.00	0	12.26
45	0.00	0	12.56
46	0.00	0	12.66
47	0.00	0	12.46
48	0.00	0	12.48
49	0.00	0	12.17
50	0.00	0	11.97
51	0.00	0	11.62
52	0.00	0	11.83
53	0.00	0	12.07
54	0.00	0	12.07
55	0.00	0	12.25
56	0.00	0	12.35
57	0.00	0	12.12
58	0.00	0	12.14
59	0.00	0	11.58
60	0.00	0	11.43
61	0.00	0	11.38
62	0.00	0	11.48
63	0.00	0	11.34
64	0.00	0	11.24
65	0.00	0	10.92
66	0.00	0	10.93
67	0.00	0	10.55
68	0.00	0	10.73
69	0.00	0	10.93
70	0.00	0	11.16
71	0.00	0	11.28
72	0.00	0	11.34
73	0.00	0	11.25
74	0.00	0	11.16
75	0.00	0	11.02
76	0.00	0	10.82
77	0.00	0	10.84
78	0.00	0	11.01
79	0.00	0	10.91
80	0.00	0	10.94
81	0.00	0	10.91
82	0.00	0	11.15
83	0.00	0	11.24
84	0.00	0	10.98
85	0.00	0	10.80
86	0.00	0	10.62
87	0.00	0	10.54
88	0.00	0	10.68
89	0.00	0	10.77
90	0.00	0	10.89
91	0.00	0	11.14
92	0.00	0	11.27
93	0.00	0	11.17
94	0.00	0	10.73
95	0.00	0	11.00
96	0.00	0	11.04
97	0.00	0	11.16
98	0.00	0	11.25
99	0.00	0	11.32
100	0.00	0	10.93
101	0.00	0	10.99
102	0.00	0	11.15
103	0.00	0	11.40
104	0.00	0	11.54
105	0.00	0	11.23
106	0.00	0	11.30
107	0.00	0	11.20
108	0.00	0	10.85
109	0.00	0	10.98
110	0.00	0	10.85
111	0.00	0	10.85
112	0.00	0	10.41
113	0.00	0	10.12
114	0.00	0	9.85
115	0.00	0	9.70
116	0.00	0	9.84
117	0.00	0	9.94
118	0.00	0	9.95
119	0.00	0	10.06
120	0.00	0	10.12
121	0.00	0	10.29
122	0.00	0	10.25
123	0.00	0	10.43
124	0.00	0	10.36
125	3.00	3	10.47
126	0.00	0	10.53
127	0.00	0	10.64
128	0.00	0	10.52
129	0.00	0	10.69
130	3.00	3	10.44
131	0.00	0	10.34
132	0.00	0	10.12
133	0.00	0	10.03
134	0.00	0	10.01
135	0.00	0	9.82
136	0.00	0	9.86
137	3.00	3	9.78
138	9.00	6	9.84
139	18.00	12	9.52
140	24.00	9	9.35
141	33.00	9	9.36
142	42.00	9	9.20
143	51.00	9	9.15
144	60.00	9	9.36
145	72.00	12	9.15
146	48.00	6	9.06
147	27.00	6	8.99
148	6.00	3	9.13
149	0.00	0	9.28
150	0.00	0	9.13
151	0.00	0	9.16
152	3.00	3	9.11
153	6.00	3	8.75
154	12.00	6	8.56
155	18.00	6	8.41
156	24.00	6	8.27
157	36.00	12	8.03
158	48.00	12	8.15
159	60.00	12	8.29
160	78.00	18	8.35
161	81.00	15	8.13
162	60.00	15	8.21
163	36.00	9	8.00
164	18.00	6	7.62
165	3.00	3	7.62
166	0.00	0	7.51
167	0.00	0	7.66
168	3.00	3	7.64
169	9.00	6	7.76
170	18.00	9	7.87
171	9.00	6	7.91
172	0.00	0	7.77
173	3.00	3	7.62
