step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0.0,0.0,1.5853591436636636,0,0
10.0,0,0.0,0.0,9.007616253584608,0,0
15.0,0,0.0,0.0,11.375656120933497,0,0
20.0,1,0.0,0.0,11.993988649175105,0,0
25.0,0,0.0,0.0,11.939724928383036,0,0
30.0,0,0.0,0.0,11.447324893789348,0,0
35.0,1,0.0,0.0,11.817528050804064,0,0
40.0,0,0.0,0.0,12.13454230137544,0,0
45.0,0,0.0,0.0,10.572841007553095,0,0
50.0,1,0.0,0.0,11.792508987745181,0,0
55.0,0,0.0,0.0,11.035357872663221,0,0
60.0,0,0.0,0.0,11.199572209327401,0,0
65.0,1,0.0,0.0,11.702478529583733,0,0
70.0,1,0.0,0.0,10.10951003966426,0,0
75.0,1,0.0,0.0,10.225012110655623,0,0
80.0,1,0.0,0.0,10.421550827572341,0,0
85.0,1,0.0,0.0,10.261541054230111,0,0
90.0,0,0.0,0.0,9.513094250616414,0,0
95.0,3,7.0,0.2692307692307692,9.562861737098242,0,0
100.0,4,19.0,0.6785714285714286,8.264357755580042,0,0
105.0,6,43.0,1.5357142857142858,7.601159708531709,0,0
110.0,10,80.0,2.857142857142857,6.614893311571303,0,0
115.0,11,130.0,4.642857142857143,6.550635663980494,0,0
120.0,11,181.0,5.838709677419355,6.2916486246279,0,0
125.0,16,244.0,7.625,5.849623724872543,0,0
130.0,15,314.0,9.515151515151516,5.940360434152088,0,0
135.0,17,394.0,11.588235294117647,5.568620853387562,0,0
140.0,19,481.0,13.0,4.917737958706706,0,0
145.0,17,469.0,12.675675675675675,5.349576692404347,0,0
150.0,17,552.0,14.153846153846153,5.097240181888442,0,0
155.0,19,416.0,10.666666666666666,4.40820795017916,0,0
160.0,16,255.0,6.538461538461538,4.969339231074157,0,0
165.0,16,193.0,4.825,5.483816841377053,0,0
170.0,10,136.0,3.8857142857142857,6.103628322409609,0,0
175.0,7,117.0,3.4411764705882355,6.852495527196903,0,0
180.0,6,108.0,3.0,8.366712994443713,0,0
185.0,1,27.0,0.7941176470588235,9.517808758522957,0,0
190.0,1,32.0,1.0666666666666667,9.47091611141513,0,0
195.0,3,37.0,1.2333333333333334,9.13538101512171,0,0
200.0,1,42.0,1.4,10.001090945437728,0,0
205.0,2,47.0,1.5161290322580645,10.249854688103442,0,0
210.0,2,52.0,1.8571428571428572,9.401868572208022,0,0
215.0,3,58.0,1.9333333333333333,10.042659666301127,0,0
220.0,2,68.0,2.125,10.088672188819508,0,0
225.0,5,87.0,3.0,9.149576072408403,0,0
230.0,6,112.0,4.0,8.552031947553672,0,0
235.0,5,137.0,4.892857142857143,9.596520412674085,0,0
240.0,6,162.0,5.785714285714286,9.487567861759672,0,0
245.0,5,187.0,7.48,9.53753865103899,0,0
250.0,5,212.0,8.48,8.522956479357521,0,0
255.0,6,100.0,3.8461538461538463,7.583186612479802,0,0
260.0,4,118.0,4.72,8.629112033081428,0,0
265.0,4,138.0,4.758620689655173,9.172574502520257,0,0
270.0,2,14.0,0.5185185185185185,9.790345857019256,0,0
275.0,3,23.0,0.8214285714285714,8.796278983286703,0,0
280.0,4,42.0,1.5,8.867013712136137,0,0
285.0,6,63.0,2.032258064516129,8.180005770085355,0,0
290.0,9,93.0,3.0,7.5677420339087345,0,0
295.0,8,133.0,4.586206896551724,8.413043685533745,0,0
300.0,8,173.0,5.580645161290323,7.788491008336839,0,0
305.0,11,219.0,6.84375,6.598334542286789,0,0
310.0,15,282.0,8.8125,5.816648082241507,0,0
315.0,16,359.0,10.558823529411764,5.346280518264992,0,0
320.0,20,445.0,11.710526315789474,5.3381447091543945,0,0
325.0,18,483.0,13.416666666666666,5.761747998190222,0,0
330.0,16,354.0,9.31578947368421,5.597846293945755,0,0
335.0,17,431.0,10.261904761904763,5.680540715887187,0,0
340.0,20,520.0,12.682926829268293,5.255190114477164,0,0
345.0,25,635.0,15.119047619047619,4.12061023592439,0,0
350.0,29,769.0,17.88372093023256,3.64371993714856,0,0
355.0,30,912.0,20.727272727272727,3.382335080793722,0,0
360.0,32,1066.0,23.68888888888889,3.399750271699349,0,0
365.0,31,1221.0,26.543478260869566,3.242713881360463,0,0
370.0,32,1226.0,26.652173913043477,2.974509330998638,0,0
375.0,27,916.0,18.32,3.986890954016244,0,0
380.0,20,684.0,13.959183673469388,4.470797836566513,0,0
385.0,19,537.0,10.959183673469388,4.941601530077509,0,0
390.0,18,450.0,9.375,5.494851925696288,0,0
395.0,13,383.0,8.704545454545455,6.096283728207141,0,0
400.0,11,428.0,9.304347826086957,6.680816774657889,0,0
405.0,12,483.0,10.5,7.262747795540982,0,0
410.0,8,329.0,7.1521739130434785,7.580285865039606,0,0
415.0,6,94.0,1.9583333333333333,7.765077095419939,0,0
420.0,13,140.0,2.978723404255319,7.650464323756771,0,0
425.0,13,204.0,4.744186046511628,7.718516973380721,0,0
430.0,13,269.0,6.255813953488372,7.379983465418485,0,0
435.0,14,334.0,8.146341463414634,7.053063550529689,0,0
440.0,13,399.0,9.975,7.499096561059835,0,0
445.0,13,407.0,9.926829268292684,6.930607895145388,0,0
450.0,11,370.0,9.487179487179487,7.200317826131843,0,0
455.0,11,422.0,11.105263157894736,7.030684184651507,0,0
460.0,14,486.0,12.789473684210526,7.137288844105088,0,0
465.0,11,266.0,7.1891891891891895,6.710613935882951,0,0
470.0,11,261.0,7.054054054054054,6.716688680099605,0,0
475.0,9,260.0,6.666666666666667,7.743175482486199,0,0
