Czas(s),Calkowity czas oczekiwania(s)
1880.0,501.0
1885.0,687.0
1890.0,877.0
1895.0,814.0
1900.0,578.0
1905.0,400.0
1910.0,167.0
1915.0,37.0
1920.0,62.0
1925.0,91.0
1930.0,121.0
1935.0,151.0
1940.0,2.0
1945.0,24.0
1950.0,73.0
1955.0,152.0
1960.0,261.0
1965.0,402.0
1970.0,572.0
1975.0,762.0
1980.0,952.0
1985.0,728.0
1990.0,504.0
1995.0,330.0
2000.0,136.0
2005.0,106.0
2010.0,139.0
2015.0,174.0
2020.0,209.0
2025.0,159.0
2030.0,12.0
2035.0,48.0
2040.0,111.0
2045.0,203.0
2050.0,330.0
2055.0,483.0
2060.0,667.0
2065.0,857.0
2070.0,875.0
2075.0,643.0
2080.0,470.0
2085.0,277.0
2090.0,70.0
2095.0,108.0
2100.0,153.0
2105.0,207.0
2110.0,267.0
2115.0,112.0
2120.0,19.0
2125.0,68.0
2130.0,154.0
2135.0,268.0
2140.0,414.0
2145.0,594.0
2150.0,784.0
2155.0,974.0
2160.0,826.0
2165.0,578.0
2170.0,351.0
2175.0,94.0
2180.0,50.0
2185.0,85.0
2190.0,130.0
2195.0,182.0
2200.0,241.0
2205.0,27.0
2210.0,24.0
2215.0,79.0
2220.0,154.0
2225.0,261.0
2230.0,400.0
2235.0,575.0
2240.0,765.0
2245.0,872.0
2250.0,648.0
2255.0,453.0
2260.0,237.0
2265.0,30.0
2270.0,55.0
2275.0,82.0
2280.0,117.0
2285.0,153.0
2290.0,65.0
2295.0,24.0
2300.0,73.0
2305.0,152.0
2310.0,259.0
2315.0,400.0
2320.0,569.0
2325.0,759.0
2330.0,949.0
2335.0,876.0
2340.0,623.0
2345.0,397.0
2350.0,181.0
2355.0,46.0
2360.0,71.0
2365.0,99.0
2370.0,139.0
2375.0,180.0
2380.0,15.0
2385.0,32.0
2390.0,85.0
2395.0,170.0
2400.0,285.0
2405.0,432.0
2410.0,611.0
2415.0,801.0
2420.0,991.0
2425.0,751.0
2430.0,539.0
2435.0,340.0
2440.0,120.0
2445.0,37.0
2450.0,52.0
2455.0,67.0
2460.0,82.0
2465.0,34.0
2470.0,9.0
2475.0,45.0
2480.0,107.0
2485.0,204.0
2490.0,331.0
2495.0,492.0
2500.0,677.0
2505.0,867.0
2510.0,888.0
2515.0,652.0
2520.0,430.0
2525.0,184.0
2530.0,12.0
2535.0,24.0
2540.0,40.0
2545.0,60.0
2550.0,85.0
2555.0,5.0
2560.0,29.0
2565.0,79.0
2570.0,158.0
2575.0,264.0
2580.0,404.0
2585.0,573.0
2590.0,762.0
2595.0,952.0
2600.0,794.0
2605.0,546.0
2610.0,358.0
2615.0,142.0
2620.0,31.0
2625.0,46.0
2630.0,64.0
2635.0,87.0
2640.0,118.0
2645.0,9.0
2650.0,45.0
2655.0,108.0
2660.0,205.0
2665.0,336.0
2670.0,500.0
2675.0,686.0
2680.0,876.0
2685.0,980.0
2690.0,737.0
2695.0,554.0
2700.0,273.0
2705.0,38.0
2710.0,58.0
2715.0,83.0
2720.0,113.0
2725.0,143.0
2730.0,38.0
2735.0,25.0
2740.0,75.0
2745.0,155.0
2750.0,263.0
2755.0,407.0
2760.0,582.0
2765.0,772.0
2770.0,962.0
2775.0,888.0
2780.0,630.0
2785.0,398.0
2790.0,173.0
2795.0,22.0
2800.0,37.0
2805.0,57.0
2810.0,77.0
2815.0,97.0
2820.0,5.0
2825.0,30.0
2830.0,84.0
2835.0,166.0
2840.0,280.0
2845.0,423.0
2850.0,600.0
2855.0,790.0
2860.0,980.0
2865.0,744.0
2870.0,501.0
2875.0,312.0
2880.0,101.0
2885.0,58.0
2890.0,90.0
2895.0,125.0
2900.0,160.0
2905.0,122.0
2910.0,19.0
2915.0,61.0
2920.0,132.0
2925.0,235.0
2930.0,373.0
2935.0,547.0
2940.0,732.0
2945.0,922.0
2950.0,937.0
2955.0,687.0
2960.0,452.0
2965.0,190.0
2970.0,3.0
2975.0,15.0
2980.0,38.0
2985.0,68.0
2990.0,111.0
